sgRNA	Gene	NE_GFP_low
PSMB11_58515	PSMB11	155
COPRS_42430	COPRS	228
RBMXL3_60763	RBMXL3	310
RAPSN_15828	RAPSN	198
FAM177B_72281	FAM177B	297
ACHE_136	ACHE	253
MEIS3_44574	MEIS3	163
C10orf111_65672	C10orf111	324
SAMD10_60915	SAMD10	288
CHST10_24978	CHST10	133
CST2_4127	CST2	38
COG2_30853	COG2	222
RAET1G_70046	RAET1G	329
TXNRD2_28588	TXNRD2	632
NKX2-5_4165	NKX2-5	324
HIST1H3D_21702	HIST1H3D	111
LCE3D_53930	LCE3D	47
GPX4_7675	GPX4	20
NPTN_35417	NPTN	66
C1QL4_68801	C1QL4	362
APBB2_893	APBB2	167
CEP72_43154	CEP72	91
KIF18B_61708	KIF18B	186
PARN_13313	PARN	63
ABHD1_54064	ABHD1	365
USP17L26_74668	USP17L26	77
P2RX2_31323	P2RX2	162
BBS4_1605	BBS4	86
SRP72_18220	SRP72	742
MRPL41_48312	MRPL41	416
PLXNA2_14231	PLXNA2	99
TAS1R1_51429	TAS1R1	187
THAP1_41709	THAP1	92
MAGOH_11057	MAGOH	175
C9orf9_30088	C9orf9	307
EFCAB14_26055	EFCAB14	289
SLC9A3_17594	SLC9A3	221
TRPM2_19617	TRPM2	241
FAHD2A_37525	FAHD2A	88
HSPB2_8961	HSPB2	229
ARPP19_29135	ARPP19	36
TBPL2_70755	TBPL2	215
COG5_28177	COG5	135
ACACA_89	ACACA	49
ARID5A_29359	ARID5A	189
TMEM39B_41618	TMEM39B	295
RBM26_47271	RBM26	124
TEX261_56999	TEX261	121
ELAC2_46943	ELAC2	120
TM7SF2_19324	TM7SF2	294
KIAA1429_34210	KIAA1429	59
CKS2_3316	CKS2	216
PCSK9_66646	PCSK9	106
TIGD3_65601	TIGD3	262
B4GALNT3_67321	B4GALNT3	206
UBL3_14314	UBL3	678
SPG21_38510	SPG21	97
14-Sep_69736	14-Sep	449
LETMD1_33961	LETMD1	226
EPHB4_5684	EPHB4	101
PCDHGA4_43934	PCDHGA4	159
VMP1_51858	VMP1	60
SCN2B_16886	SCN2B	50
2-Mar_38269	2-Mar	180
PRSS2_15044	PRSS2	60
CANT1_58774	CANT1	217
TWISTNB_65896	TWISTNB	190
SMLR1_75950	SMLR1	321
SLMAP_21032	SLMAP	648
TEX261_57000	TEX261	221
PSMD8_15263	PSMD8	5
TSC22D4_51842	TSC22D4	182
SH3GLB2_44528	SH3GLB2	175
GPR149_69625	GPR149	320
ZNF536_25825	ZNF536	433
AP1S2_23362	AP1S2	78
MLXIPL_37744	MLXIPL	135
DYDC1_61149	DYDC1	215
TXLNA_64649	TXLNA	251
IL17RE_60015	IL17RE	232
COQ2_35824	COQ2	132
KDM3A_43481	KDM3A	268
STIL_17375	STIL	380
ATF5_30892	ATF5	125
C19orf60_41421	C19orf60	190
MRPS21_39967	MRPS21	70
FCHSD1_55162	FCHSD1	98
CENPU_49620	CENPU	217
RTN3_27718	RTN3	493
F2RL1_5948	F2RL1	516
IL3RA_9414	IL3RA	429
EXOSC2_32712	EXOSC2	88
PSMB1_15171	PSMB1	21
NIPSNAP1_22143	NIPSNAP1	235
FAM160A1_74987	FAM160A1	838
MRPL12_16472	MRPL12	128
DHX30_31192	DHX30	131
NPAS3_47293	NPAS3	157
GPN1_30755	GPN1	90
USP17L29_74694	USP17L29	23
AAMDC_36258	AAMDC	266
PLD1_14138	PLD1	89
PSMD11_15274	PSMD11	107
MADCAM1_21359	MADCAM1	74
BCS1L_1681	BCS1L	110
GPR4_7504	GPR4	382
MRPS27_31748	MRPS27	212
PRRC2B_54117	PRRC2B	81
RPS3A_16493	RPS3A	37
FAM132A_71096	FAM132A	254
DIP2B_46010	DIP2B	190
SOCS6_24431	SOCS6	158
UBALD1_58726	UBALD1	109
C9orf131_60611	C9orf131	119
STAB2_42697	STAB2	298
LRRC57_66591	LRRC57	364
ADCY4_64472	ADCY4	212
SAA2_16779	SAA2	135
TSEN2_51301	TSEN2	147
GPIHBP1_68716	GPIHBP1	280
LGALS9C_74433	LGALS9C	47
DEFB105A_66117	DEFB105A	55
CEP76_50469	CEP76	451
SUMO4_70720	SUMO4	194
CT45A7_76308	CT45A7	91
RARG_15840	RARG	173
NIPSNAP1_22144	NIPSNAP1	299
MIPEP_11502	MIPEP	94
ABHD8_49300	ABHD8	133
DST_1843	DST	414
DYRK1B_24032	DYRK1B	63
CTSA_14523	CTSA	415
CIRH1A_54474	CIRH1A	206
FOLR3_6541	FOLR3	822
PGGT1B_13808	PGGT1B	67
FAM160A1_74985	FAM160A1	99
HEATR1_41650	HEATR1	115
C3AR1_1983	C3AR1	201
12-Sep_58730	12-Sep	443
WDR48_45979	WDR48	184
COL6A2_3599	COL6A2	182
XAGE3_64192	XAGE3	180
MRPL13_36337	MRPL13	71
NLGN4X_45652	NLGN4X	481
APOC2_971	APOC2	223
NDUFB1_12315	NDUFB1	130
ATAT1_50492	ATAT1	209
FAM131C_69956	FAM131C	329
CKAP2_35204	CKAP2	129
DPH2_4990	DPH2	203
NOL8_41388	NOL8	175
FDXR_6198	FDXR	142
LRRC73_65795	LRRC73	260
CHEK2_30459	CHEK2	173
ARHGAP20_45874	ARHGAP20	246
ADAM22_39602	ADAM22	164
IRF1_9700	IRF1	295
KIF6_65804	KIF6	156
NOM1_47804	NOM1	127
RSU1_16670	RSU1	41
GPHA2_64180	GPHA2	397
SETD8_70893	SETD8	57
GLTSCR1L_32978	GLTSCR1L	112
5-Sep_14320	5-Sep	121
NAA50_50939	NAA50	76
TMEM91_73665	TMEM91	152
ANTXRL_64367	ANTXRL	160
NUP214_21184	NUP214	68
IRF2BP2_70203	IRF2BP2	295
VAPA_24217	VAPA	109
NCAPH2_36612	NCAPH2	128
KHDC1L_75184	KHDC1L	197
AURKC_18426	AURKC	336
TRIAP1_38883	TRIAP1	69
FOXD4L4_70010	FOXD4L4	14
MRPL46_35207	MRPL46	199
ZNF142_20694	ZNF142	390
MT1B_11809	MT1B	72
YME1L1_29006	YME1L1	210
CRNKL1_38557	CRNKL1	153
GRIP1_32785	GRIP1	62
ANKRD6_31099	ANKRD6	232
ALG6_36816	ALG6	148
ZNF320_63580	ZNF320	194
NUP62_33375	NUP62	140
HEXIM1_28676	HEXIM1	123
B3GAT3_34787	B3GAT3	161
RFPL4B_73254	RFPL4B	167
FRG2B_73176	FRG2B	10
PRR7_51314	PRR7	177
DUSP4_5155	DUSP4	358
DNAJB1_8988	DNAJB1	94
DHX37_46116	DHX37	95
COL2A1_3553	COL2A1	311
BCS1L_1684	BCS1L	77
AUP1_1520	AUP1	74
STK39_36096	STK39	260
ZBBX_49810	ZBBX	157
ELP6_40798	ELP6	62
ACR_147	ACR	373
CC2D1B_64638	CC2D1B	310
ZNF501_57512	ZNF501	137
NELFB_34085	NELFB	117
LRRC14_25604	LRRC14	152
PDCD10_30554	PDCD10	399
PSMD14_27378	PSMD14	21
PPIH_28175	PPIH	130
ENTPD5_2696	ENTPD5	207
ZADH2_67712	ZADH2	294
ACSL5_39335	ACSL5	450
RBPMS2_69911	RBPMS2	26
PCSK7_24057	PCSK7	262
FOSL2_6556	FOSL2	213
PLP2_14201	PLP2	343
ZNF251_55691	ZNF251	194
ATHL1_50818	ATHL1	198
DPH2_4992	DPH2	192
ARHGEF38_40751	ARHGEF38	137
RSPH6A_51606	RSPH6A	339
AHRR_45618	AHRR	442
LRRC37A_26302	LRRC37A	55
KIAA0319L_50398	KIAA0319L	265
ZNF589_38664	ZNF589	44
AMY2A_776	AMY2A	158
WRB_20316	WRB	116
MYH13_22832	MYH13	246
TRIM9_57090	TRIM9	42
RASSF3_67318	RASSF3	62
SLC25A5_815	SLC25A5	75
KIF25_10259	KIF25	323
TIMELESS_23399	TIMELESS	11
PPIAL4A_74334	PPIAL4A	106
SRPR_18231	SRPR	220
ZMYND8_33316	ZMYND8	119
FAM132A_71095	FAM132A	150
MAP1LC3C_73006	MAP1LC3C	298
FPGT_22984	FPGT	296
SMARCD2_17770	SMARCD2	211
TPM1_19493	TPM1	117
IPO4_49709	IPO4	43
C2orf69_65161	C2orf69	66
LRRC17_27453	LRRC17	376
TESPA1_26148	TESPA1	172
ANAPC15_34050	ANAPC15	51
ZP4_46462	ZP4	308
C19orf53_36269	C19orf53	95
GBP1_6941	GBP1	380
SEC24C_25424	SEC24C	51
TEX29_58434	TEX29	273
DNAJC5B_55033	DNAJC5B	148
ELP3_41691	ELP3	50
MFAP3L_26176	MFAP3L	239
CC2D2B_70815	CC2D2B	259
PGRMC2_28040	PGRMC2	267
TYW3_59314	TYW3	174
SYMPK_21374	SYMPK	75
MRPL36_48325	MRPL36	145
NR2C2AP_59148	NR2C2AP	43
HID1_67568	HID1	230
PANK3_49501	PANK3	222
SNRPD3_17892	SNRPD3	19
DUSP14_30027	DUSP14	246
RNF148_70622	RNF148	74
LSMEM2_60044	LSMEM2	221
SUPV3L1_18506	SUPV3L1	79
HEPN1_73666	HEPN1	118
ANHX_74204	ANHX	258
COX14_54685	COX14	44
GNG3_7360	GNG3	172
ERVV-1_61811	ERVV-1	41
FAM167B_54128	FAM167B	272
NUP88_12938	NUP88	107
COG5_28179	COG5	158
MFRP_52238	MFRP	215
KRTAP5-1_70742	KRTAP5-1	35
PITPNM2_45996	PITPNM2	170
WBP4_30435	WBP4	248
WNT2_20261	WNT2	326
SELT_39356	SELT	123
HOOK1_38590	HOOK1	342
TACO1_38133	TACO1	19
ITLN2_61103	ITLN2	488
KLRK1_31211	KLRK1	333
CWF19L2_61238	CWF19L2	220
LY6G6D_46687	LY6G6D	273
PGK1_13812	PGK1	232
BANF1_23069	BANF1	40
GPBAR1_62489	GPBAR1	294
RBFA_50181	RBFA	121
SORBS1_28568	SORBS1	477
PARS2_34228	PARS2	139
HSCB_62292	HSCB	46
WDR36_60265	WDR36	155
TJP2_24766	TJP2	97
TRPC4_19607	TRPC4	176
TRIM73_70514	TRIM73	100
LIN7C_42336	LIN7C	191
MMP9_11607	MMP9	249
NFAM1_62331	NFAM1	251
AGO1_35121	AGO1	450
WDR91_36365	WDR91	381
TRANK1_26290	TRANK1	154
ALS2CR12_59826	ALS2CR12	452
EIF5_5465	EIF5	21
LARS_38929	LARS	44
CBX3_30796	CBX3	152
ZFYVE27_58084	ZFYVE27	109
CEP85_48081	CEP85	457
ETAA1_39989	ETAA1	155
NREP_24458	NREP	81
PTPRJ_15495	PTPRJ	198
SMEK2_45318	SMEK2	306
LYRM5_61314	LYRM5	352
MAGEA2B_67075	MAGEA2B	44
PDXK_22342	PDXK	458
ABHD1_54063	ABHD1	323
GCHFR_6983	GCHFR	87
APBA2_885	APBA2	196
TNNI1_19395	TNNI1	107
CENPF_3043	CENPF	109
C18orf32_73464	C18orf32	284
ACSL1_6044	ACSL1	486
CHMP6_49490	CHMP6	147
KRTAP19-1_68620	KRTAP19-1	73
CEBPG_3017	CEBPG	382
NBPF4_62045	NBPF4	142
C9orf24_54032	C9orf24	228
CDC37_30239	CDC37	82
SAP18_27632	SAP18	26
ABCB8_30442	ABCB8	175
GDF2_7028	GDF2	112
NKX3-2_1588	NKX3-2	183
SPARC_18047	SPARC	356
GIMAP1_64175	GIMAP1	193
YTHDF2_38771	YTHDF2	248
PCDHA13_44009	PCDHA13	168
PLS1_14212	PLS1	80
RPA1_16279	RPA1	58
MRPL13_36338	MRPL13	217
PRRG4_48820	PRRG4	287
EPHA1_5648	EPHA1	137
ATF6B_3871	ATF6B	373
PAG1_43496	PAG1	150
CALY_37293	CALY	167
CBWD5_65624	CBWD5	21
LRTM1_45430	LRTM1	288
TARDBP_32807	TARDBP	245
ATG12_23994	ATG12	121
POLE2_14349	POLE2	90
ANAPC1_47884	ANAPC1	41
IK_9365	IK	64
C9orf43_66874	C9orf43	440
YES1_20382	YES1	177
AAED1_64358	AAED1	324
KCNG3_64234	KCNG3	229
SLC9A5_17598	SLC9A5	157
ING3_40239	ING3	80
CYTIP_25322	CYTIP	114
3-Sep_43783	3-Sep	344
CDC27_2818	CDC27	39
AQP10_55191	AQP10	188
IFI44L_29696	IFI44L	182
ZNF485_65651	ZNF485	174
PLXND1_31810	PLXND1	109
ITGB1BP1_24362	ITGB1BP1	727
TAAR2_24404	TAAR2	324
TEKT3_47824	TEKT3	188
TIAM2_34792	TIAM2	170
CSNK1D_4069	CSNK1D	221
DEFB107A_66127	DEFB107A	226
GBP6_63677	GBP6	479
DVL1_5182	DVL1	328
ZNF490_45566	ZNF490	293
CNTROB_57828	CNTROB	407
NADK_48462	NADK	95
THNSL2_42113	THNSL2	304
SCYL1_45438	SCYL1	229
CCR10_7494	CCR10	265
CDH4_2844	CDH4	235
USP17L3_74038	USP17L3	11
CCDC102B_50110	CCDC102B	129
ENO1_5589	ENO1	101
C10orf53_67159	C10orf53	295
WDR18_45458	WDR18	60
CGB2_57125	CGB2	230
TSNAX_19651	TSNAX	313
NKX2-1_19218	NKX2-1	226
NPIPA3_73717	NPIPA3	400
CLSPN_47224	CLSPN	156
TMEM119_68807	TMEM119	294
TESPA1_26146	TESPA1	341
NGLY1_43312	NGLY1	125
RIC1_45946	RIC1	60
LIN52_55985	LIN52	25
GGA2_31614	GGA2	297
PPP1R16A_54689	PPP1R16A	214
C1orf115_49878	C1orf115	227
MTRNR2L2_75781	MTRNR2L2	8
CTDNEP1_32695	CTDNEP1	70
PAFAH1B1_13245	PAFAH1B1	37
PRDM10_44759	PRDM10	74
MDM1_44474	MDM1	102
GJB6_29220	GJB6	163
ZBTB11_35583	ZBTB11	49
NPAS4_67079	NPAS4	251
SLC2A7_62974	SLC2A7	243
COX15_3755	COX15	192
NUP62_33377	NUP62	248
TTF1_19694	TTF1	64
VOPP1_51663	VOPP1	102
IGF2BP2_28780	IGF2BP2	311
RANBP2_15793	RANBP2	30
GDAP2_40713	GDAP2	154
TREM2_39824	TREM2	272
SOCS4_58544	SOCS4	195
MAPK6_14894	MAPK6	249
PAPOLA_29529	PAPOLA	157
KRTAP13-3_68626	KRTAP13-3	11
GNAI1_7307	GNAI1	505
ST3GAL3_17363	ST3GAL3	251
GCSAML_62082	GCSAML	418
RIN2_39944	RIN2	72
CECR5_36144	CECR5	353
RBBP8NL_61070	RBBP8NL	113
GRIN3A_57759	GRIN3A	366
ITK_9852	ITK	171
CHRNA2_3222	CHRNA2	145
ICE1_32629	ICE1	94
GPC5_6299	GPC5	65
MRFAP1_56561	MRFAP1	127
RBBP5_15890	RBBP5	22
ALX4_46947	ALX4	192
PPAN_44242	PPAN	7
KDM2A_31398	KDM2A	73
ILF3_9554	ILF3	100
FDX1L_56863	FDX1L	67
VPS39_32507	VPS39	130
C8orf22_73373	C8orf22	540
PRAMEF5_69491	PRAMEF5	36
UBXN1_37610	UBXN1	269
FXR2_25060	FXR2	41
ACSL3_6047	ACSL3	172
POTEB3_76422	POTEB3	165
FAM110D_50380	FAM110D	327
RBP5_52485	RBP5	123
ZG16B_58704	ZG16B	80
LOC400736_72258	LOC400736	87
FAM217A_66064	FAM217A	263
BAP1_21569	BAP1	389
SLC37A3_53236	SLC37A3	325
SMS_17802	SMS	83
SIRPB1_27763	SIRPB1	185
ZNF543_58958	ZNF543	204
ARHGEF16_35834	ARHGEF16	186
NCKAP5_69590	NCKAP5	371
RNF32_60829	RNF32	392
NELFB_34086	NELFB	70
CLTC_3435	CLTC	11
PLEKHA8_54112	PLEKHA8	312
ANKRD24_64249	ANKRD24	321
RCVRN_15964	RCVRN	295
GPR19_7552	GPR19	207
C5orf45_37970	C5orf45	15
RPAP2_50213	RPAP2	13
ARHGAP9_47649	ARHGAP9	257
BORA_50191	BORA	270
ZNF568_70378	ZNF568	305
ZNF574_47984	ZNF574	92
HHAT_43183	HHAT	189
DDX19A_42271	DDX19A	368
BOD1_55776	BOD1	112
NNT_33070	NNT	128
STIM1_18395	STIM1	324
CYB561_4308	CYB561	223
RPL37_16434	RPL37	64
AFF1_11556	AFF1	132
CNTNAP3B_74728	CNTNAP3B	47
MIIP_46984	MIIP	437
MYH3_12031	MYH3	111
MAPK1_14883	MAPK1	68
MAP4K3_22077	MAP4K3	220
MRPL4_37700	MRPL4	64
C16orf90_74075	C16orf90	183
YARS_22340	YARS	42
SOD1_17934	SOD1	184
PCM1_13426	PCM1	135
CDC25C_2814	CDC25C	129
KDM5A_15882	KDM5A	129
MMP17_11639	MMP17	76
TNFSF18_23557	TNFSF18	220
ATP6AP1_1488	ATP6AP1	129
KCNJ2_10029	KCNJ2	348
SMIM12_57003	SMIM12	188
OR2AE1_51560	OR2AE1	375
ACSL1_6043	ACSL1	265
PTPMT1_57379	PTPMT1	234
AMZ1_62979	AMZ1	189
FAM184A_49453	FAM184A	298
CREB1_3859	CREB1	331
XYLT2_47453	XYLT2	298
CLCA2_25432	CLCA2	202
CT47A1_74568	CT47A1	16
POLA1_14331	POLA1	76
NDC80_27973	NDC80	132
RAB5C_15701	RAB5C	492
MKNK1_22353	MKNK1	191
SLC35A4_57068	SLC35A4	279
S100A12_16757	S100A12	337
ALS2CR12_59827	ALS2CR12	136
MYL12B_56776	MYL12B	425
GCA_33750	GCA	194
RNF5_16210	RNF5	99
UNC5C_22502	UNC5C	259
P4HTM_40403	P4HTM	256
ZSCAN16_51193	ZSCAN16	235
SPDEF_33757	SPDEF	105
CCDC73_73395	CCDC73	358
SPATA9_52626	SPATA9	145
CKS1B_3311	CKS1B	69
HLA-C_8386	HLA-C	38
TRRAP_21537	TRRAP	124
TFR2_19063	TFR2	108
SPATA20_48157	SPATA20	95
PPM1M_60031	PPM1M	160
ZNF385B_62441	ZNF385B	327
HSD17B12_37952	HSD17B12	33
FOXD2_6423	FOXD2	196
INTS9_43267	INTS9	39
DAW1_63797	DAW1	319
PPP1R17_29297	PPP1R17	361
TMEM191C_74018	TMEM191C	107
RAN_15785	RAN	48
SLC19A3_51230	SLC19A3	209
SALL1_16808	SALL1	352
COG8_53540	COG8	104
TMEM87B_54449	TMEM87B	232
ZBTB32_35440	ZBTB32	164
SPPL2B_44613	SPPL2B	389
CXCL14_25177	CXCL14	227
FANCF_6069	FANCF	65
NCOA1_22557	NCOA1	267
BFSP1_1701	BFSP1	211
IFIT5_33597	IFIT5	153
ICT1_9113	ICT1	107
KRI1_48416	KRI1	148
ANKRD55_49745	ANKRD55	129
TEX19_72230	TEX19	201
VWA5B2_55302	VWA5B2	118
LIMS2_43010	LIMS2	260
ZFP57_69729	ZFP57	358
ISX_55861	ISX	293
SYNCRIP_28278	SYNCRIP	50
NBPF6_74257	NBPF6	480
DOPEY2_26632	DOPEY2	204
GPRC5A_23707	GPRC5A	189
THAP11_45297	THAP11	52
ALDH7A1_1408	ALDH7A1	257
LRRC66_69070	LRRC66	247
DTWD1_44779	DTWD1	396
RAD54L_21930	RAD54L	126
NDUFS8_12389	NDUFS8	83
SQLE_18153	SQLE	262
NAPRT_56439	NAPRT	345
ENTPD6_2688	ENTPD6	273
UBE4A_24578	UBE4A	285
TRMT12_41406	TRMT12	223
SLC25A28_52036	SLC25A28	120
ARMCX1_38453	ARMCX1	278
CCDC177_44633	CCDC177	207
KIR3DL3_57527	KIR3DL3	225
SNRPE_17894	SNRPE	218
RACGAP1_36567	RACGAP1	99
ZNF341_54438	ZNF341	59
KANSL2_41050	KANSL2	61
DNHD1_61280	DNHD1	289
LCN8_60578	LCN8	170
TOMM20_26028	TOMM20	76
SAA4_16782	SAA4	411
GUCA1B_7995	GUCA1B	150
OLFML1_67304	OLFML1	173
KCTD21_67263	KCTD21	315
TNFAIP1_19368	TNFAIP1	194
LONRF1_55962	LONRF1	241
GOLGA6L9_72918	GOLGA6L9	81
ZSCAN2_41251	ZSCAN2	151
RFNG_16050	RFNG	244
OBP2B_36983	OBP2B	132
FRRS1_71919	FRRS1	168
CHRAC1_39790	CHRAC1	119
ZBED1_24140	ZBED1	60
DNAL4_27088	DNAL4	190
PYDC1_67039	PYDC1	38
MYADM_55944	MYADM	289
LPPR4_26324	LPPR4	107
HOXA2_8635	HOXA2	189
TWF1_15395	TWF1	152
STK31_44088	STK31	233
FAM72C_73577	FAM72C	30
CTSG_4249	CTSG	316
TMPRSS11A_69061	TMPRSS11A	119
TSEN15_57777	TSEN15	194
ATP5L_28739	ATP5L	103
FOXRED1_42687	FOXRED1	221
LY6G5C_51288	LY6G5C	226
TUBB8_69856	TUBB8	45
GID4_48721	GID4	145
PPFIA1_22110	PPFIA1	114
LIN7A_23112	LIN7A	392
VRTN_42036	VRTN	455
PPP1R18_64239	PPP1R18	194
RAB36_25352	RAB36	116
CELF4_44449	CELF4	387
KRTAP6-1_68636	KRTAP6-1	189
FMOD_6508	FMOD	90
FFAR2_7632	FFAR2	242
SPATA13_65715	SPATA13	148
CCDC64_56272	CCDC64	262
ZNF425_62964	ZNF425	289
UCP1_19920	UCP1	306
SLC19A1_17675	SLC19A1	159
C2orf81_71239	C2orf81	176
NDUFA11_59124	NDUFA11	167
FOXH1_23425	FOXH1	541
EPHX3_50156	EPHX3	124
NUDT21_29956	NUDT21	113
MAPK8IP1_24964	MAPK8IP1	135
PGLYRP1_23549	PGLYRP1	214
RAB10_29444	RAB10	323
CKM_3294	CKM	200
HNRNPK_8610	HNRNPK	10
PPIA_14526	PPIA	22
NIPBL_33862	NIPBL	111
CLECL1_63332	CLECL1	139
FARSA_6087	FARSA	20
PLCD4_54222	PLCD4	126
PRR15L_49059	PRR15L	173
RASSF9_24116	RASSF9	451
GOLGA3_7419	GOLGA3	161
C1orf111_67963	C1orf111	183
PAK1IP1_41283	PAK1IP1	40
OR10G7_71744	OR10G7	316
SURF6_18529	SURF6	97
RNF224_73806	RNF224	213
NFYC_12584	NFYC	67
TBC1D32_65756	TBC1D32	245
NSRP1_52883	NSRP1	179
NCAPG2_40917	NCAPG2	241
C17orf47_67625	C17orf47	308
POT1_34069	POT1	63
SLC22A11_43621	SLC22A11	426
ARL2BP_33202	ARL2BP	325
CCNC_2486	CCNC	100
POLR2G_14387	POLR2G	521
NAF1_56224	NAF1	298
APOA1_943	APOA1	151
YAP1_28008	YAP1	25
RBMS1_15923	RBMS1	153
TIE1_19199	TIE1	260
SNAPC1_17828	SNAPC1	52
PGM5_13828	PGM5	57
PITX1_14026	PITX1	291
EGLN1_40281	EGLN1	338
SMG6_32362	SMG6	112
ZCCHC7_53071	ZCCHC7	199
KRTAP19-7_68666	KRTAP19-7	111
COL4A4_3575	COL4A4	210
ILF2_9551	ILF2	205
OR5K1_34999	OR5K1	215
RGP1_26107	RGP1	110
SSX2B_74491	SSX2B	223
SLC6A8_17543	SLC6A8	60
HSPB7_35642	HSPB7	166
DEFB112_66138	DEFB112	319
ACTR3C_74419	ACTR3C	65
TCEB2_18806	TCEB2	44
COPG1_30900	COPG1	159
MORN1_50328	MORN1	180
ADA_253	ADA	232
IPO4_49708	IPO4	177
COL4A3BP_26961	COL4A3BP	446
GOLGA8B_72907	GOLGA8B	40
ERCC2_5745	ERCC2	67
PYGO2_55615	PYGO2	134
EFTUD1_49448	EFTUD1	42
FAF2_32045	FAF2	232
EMC10_67795	EMC10	282
RFX6_66013	RFX6	463
PSG11_15135	PSG11	129
RAB32_29749	RAB32	204
MPP1_11711	MPP1	16
CXorf49B_75467	CXorf49B	42
MYH15_31389	MYH15	311
GRK4_7634	GRK4	306
CACFD1_30095	CACFD1	341
CYGB_57156	CYGB	247
PPIL3_39699	PPIL3	215
FARP2_26197	FARP2	435
MPV17L2_54169	MPV17L2	442
MRPL23_16383	MRPL23	74
PLRG1_14205	PLRG1	172
USP24_32563	USP24	290
NDUFB7_12337	NDUFB7	214
TIMELESS_23400	TIMELESS	53
A2ML1_61349	A2ML1	219
SPTBN5_38530	SPTBN5	353
ERH_5783	ERH	46
NR1H2_20002	NR1H2	123
NUGGC_71429	NUGGC	355
METTL6_60008	METTL6	203
TMEM185B_48967	TMEM185B	397
HIST1H3G_21717	HIST1H3G	181
KLRC1_10226	KLRC1	321
OR56A3_71611	OR56A3	180
SLC34A2_28524	SLC34A2	358
PPP2R5E_14657	PPP2R5E	403
LMNB1_10711	LMNB1	193
KLF16_52533	KLF16	25
ADGB_49833	ADGB	34
RASA4B_75570	RASA4B	119
TMCO1_40085	TMCO1	369
ATP9B_70344	ATP9B	211
MUC3A_11910	MUC3A	68
HIST1H3E_21712	HIST1H3E	166
TIMM13_35106	TIMM13	85
LAS1L_52015	LAS1L	178
RRM1_16645	RRM1	64
RBM20_67180	RBM20	260
SEC14L6_75030	SEC14L6	234
DIRAS1_61989	DIRAS1	429
RGCC_36296	RGCC	236
PIK3R2_13996	PIK3R2	212
TAF5_18649	TAF5	356
B4GALT3_22728	B4GALT3	195
KRT86_10428	KRT86	85
ANTXR1_53039	ANTXR1	167
FOXL1_6398	FOXL1	351
ATP5G3_1439	ATP5G3	175
SIL1_47669	SIL1	209
VPS45_30719	VPS45	494
MRPL34_48328	MRPL34	226
PPIC_14533	PPIC	41
QSOX1_15410	QSOX1	80
MRPS34_48578	MRPS34	188
C20orf62_61012	C20orf62	110
H2AFJ_43307	H2AFJ	152
CHRNB1_3244	CHRNB1	244
DRC7_53165	DRC7	288
MT1G_11823	MT1G	349
BIRC8_56787	BIRC8	34
MSL2_41785	MSL2	388
TIE1_19200	TIE1	212
CNTF_3535	CNTF	217
NKAIN4_59545	NKAIN4	220
PLA2G12B_53923	PLA2G12B	250
CD4_2570	CD4	118
C9orf117_68400	C9orf117	442
RPA1_16277	RPA1	114
ZNF718_66620	ZNF718	419
KAZALD1_51816	KAZALD1	494
MOAP1_47404	MOAP1	384
GAGE2D_74904	GAGE2D	81
ZNF324B_71090	ZNF324B	152
TVP23C_64822	TVP23C	85
ZNF761_71076	ZNF761	159
DCAF15_55440	DCAF15	121
S100A9_16747	S100A9	300
DCDC2B_62120	DCDC2B	175
MAPK8IP1_24963	MAPK8IP1	207
SELPLG_17133	SELPLG	122
ADGRE1_5557	ADGRE1	365
OR56A5_71616	OR56A5	279
TRIM3_28667	TRIM3	345
ERCC1_5744	ERCC1	97
RIMBP3B_73009	RIMBP3B	100
LOC388282_70958	LOC388282	137
DIDO1_30073	DIDO1	281
TMEM139_60387	TMEM139	60
CLCNKA_3370	CLCNKA	192
ZYX_20917	ZYX	152
PSKH1_15139	PSKH1	139
DNAJA2_27668	DNAJA2	116
STOM_5643	STOM	368
RCC1_3119	RCC1	69
SH3BGRL2_52391	SH3BGRL2	240
AKIP1_44366	AKIP1	158
IQCA1_49919	IQCA1	233
FBXL7_32031	FBXL7	290
MRPL13_36336	MRPL13	82
SMC1A_21469	SMC1A	149
NDST4_47834	NDST4	177
COPB1_3677	COPB1	47
IFNW1_9279	IFNW1	101
XYLT2_47454	XYLT2	264
PRKCZ_14866	PRKCZ	348
DPH3_68141	DPH3	27
VAMP2_18546	VAMP2	229
PSMG4_71367	PSMG4	53
SPG20_31759	SPG20	95
GOLGA8B_72908	GOLGA8B	89
YBX3_22218	YBX3	196
LDHAL6A_63316	LDHAL6A	311
WFDC2_27983	WFDC2	109
KDM3A_43480	KDM3A	276
LAS1L_52017	LAS1L	54
RAB4B_39686	RAB4B	265
SKA3_65705	SKA3	83
FEN1_6208	FEN1	141
ZIC1_20442	ZIC1	306
BTBD17_71028	BTBD17	92
EIF4EBP2_5456	EIF4EBP2	211
MORN3_67346	MORN3	110
HAUS5_32554	HAUS5	72
MED25_51986	MED25	118
CHURC1-FNTB_76134	CHURC1-FNTB	54
SPATC1L_53145	SPATC1L	273
MBD6_57185	MBD6	293
CARD9_47494	CARD9	158
RPL7_16320	RPL7	28
SLC52A1_41461	SLC52A1	152
GSTCD_50001	GSTCD	223
MAP2K1_14922	MAP2K1	462
SC5D_16838	SC5D	627
FIGNL1_47256	FIGNL1	76
ZNF133_20665	ZNF133	52
