sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
ACKR3_44835	ACKR3	138
PASD1_60661	PASD1	86
HIST1H4D_21740	HIST1H4D	149
Non-Targeting Control_77381	Non-Targeting Control	126
TFCP2L1_36656	TFCP2L1	98
METTL25_53090	METTL25	52
Non-Targeting Control_76473	Non-Targeting Control	266
PIAS4_39090	PIAS4	55
PTH2_56923	PTH2	14
GPR39_7617	GPR39	112
VWF_20207	VWF	8
GIN1_40684	GIN1	45
KCNJ12_10061	KCNJ12	57
FAM78B_62146	FAM78B	93
ZNF696_50419	ZNF696	94
TIGD2_63916	TIGD2	42
SIGLEC6_2651	SIGLEC6	51
DAPK2_33297	DAPK2	22
CLPSL2_71373	CLPSL2	77
AAR2_34257	AAR2	95
RTN2_16678	RTN2	129
MT1G_11821	MT1G	43
BCL11A_39525	BCL11A	61
NID2_30850	NID2	36
RND1_35936	RND1	100
TPM2_19500	TPM2	27
NPS_73603	NPS	13
ZC3H12B_69216	ZC3H12B	42
CD52_2978	CD52	95
ZNF600_63574	ZNF600	53
KCNG4_56442	KCNG4	68
ABCA13_62905	ABCA13	60
ALKBH4_40561	ALKBH4	156
C2orf61_68023	C2orf61	28
CD99L2_52363	CD99L2	145
KIF16B_42800	KIF16B	44
LMO1_10713	LMO1	100
MROH8_60909	MROH8	48
ADAM21_22875	ADAM21	152
TMUB2_48912	TMUB2	36
GYS1_8052	GYS1	74
ISG15_25434	ISG15	49
ASB15_61110	ASB15	107
CEP55_41778	CEP55	66
STON1_29925	STON1	45
HBE1_8205	HBE1	112
SDR16C5_64353	SDR16C5	101
ODF3B_73024	ODF3B	59
HOXC12_8744	HOXC12	62
FAM104B_55608	FAM104B	276
KCNH2_10023	KCNH2	35
RAB11FIP2_30964	RAB11FIP2	50
CLUAP1_31603	CLUAP1	76
TMEM105_67678	TMEM105	71
CEBPA_3001	CEBPA	71
NR3C2_11576	NR3C2	19
FAF1_30187	FAF1	82
ATG16L1_41434	ATG16L1	146
KCNJ3_10033	KCNJ3	27
FAM171B_63827	FAM171B	50
GPR1_7490	GPR1	112
PPIAL4C_74361	PPIAL4C	65
GAB3_60737	GAB3	170
MAN2A2_11073	MAN2A2	20
ABCC3_22761	ABCC3	39
MYOG_12147	MYOG	45
PEAK1_50093	PEAK1	130
MRPS11_48295	MRPS11	86
PHF14_25582	PHF14	152
RRAS2_30864	RRAS2	106
FAM47E_75220	FAM47E	11
HAPLN2_46886	HAPLN2	39
AQP3_1027	AQP3	24
Non-Targeting Control_76998	Non-Targeting Control	261
NLGN4X_45652	NLGN4X	18
FOXE3_6403	FOXE3	100
BTBD3_31176	BTBD3	66
ANO5_65135	ANO5	216
NPS_73602	NPS	195
HECW1_31646	HECW1	84
Non-Targeting Control_76538	Non-Targeting Control	250
ALDH1L1_29290	ALDH1L1	73
Non-Targeting Control_77335	Non-Targeting Control	265
NLGN4Y_30933	NLGN4Y	64
