sgRNA	Gene	E8_T0
CLUAP1_31605	CLUAP1	791
GFY_75929	GFY	2030
FAM9A_64290	FAM9A	942
C22orf42_62307	C22orf42	1183
Non-Targeting Control_76626	Non-Targeting Control	7231
SERPINA7_18753	SERPINA7	1807
UGCG_19944	UGCG	881
FBXO46_32709	FBXO46	1249
PYGL_15614	PYGL	844
AHSA2_59881	AHSA2	210
MRLN_75931	MRLN	2120
CDC37L1_42969	CDC37L1	1203
RWDD2A_56822	RWDD2A	538
BCL11B_48244	BCL11B	1600
PPOX_14558	PPOX	652
RNF24_30562	RNF24	462
MIEF1_40012	MIEF1	543
WNT9B_20309	WNT9B	966
OR5K3_72616	OR5K3	651
H1F0_8081	H1F0	364
OR2L3_71958	OR2L3	687
IQCF1_60023	IQCF1	952
Non-Targeting Control_77025	Non-Targeting Control	4817
KIAA0232_25942	KIAA0232	1182
E2F6_5223	E2F6	241
SPINK8_74085	SPINK8	1377
ADCK2_55684	ADCK2	597
IQSEC3_72863	IQSEC3	1380
ITIH4_9847	ITIH4	672
CDH24_47718	CDH24	301
DHX57_55687	DHX57	86
SNCB_17840	SNCB	870
ZZZ3_34330	ZZZ3	30
ZDHHC21_69179	ZDHHC21	318
NXT2_43737	NXT2	977
ZNF775_68324	ZNF775	241
ACER1_58989	ACER1	373
SMTNL2_69404	SMTNL2	612
Non-Targeting Control_77364	Non-Targeting Control	3879
TMPRSS7_69634	TMPRSS7	1416
KLHL4_43869	KLHL4	2001
Non-Targeting Control_77219	Non-Targeting Control	2675
CCDC132_42785	CCDC132	1213
TCP11X2_76270	TCP11X2	2294
OR6B2_71269	OR6B2	1149
NEU2_12466	NEU2	892
ATP11B_32055	ATP11B	717
GPAT2_62397	GPAT2	1445
SRP72_18217	SRP72	648
KCNH2_10021	KCNH2	758
LACTBL1_74080	LACTBL1	2263
OR5D13_71632	OR5D13	455
RABGAP1L_26399	RABGAP1L	1460
CHML_3181	CHML	776
LMF2_55786	LMF2	1011
