sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
CCDC106_36745	CCDC106	35
C1orf112_43182	C1orf112	117
OR1L4_66537	OR1L4	147
BAIAP2L2_50717	BAIAP2L2	89
C1orf185_67921	C1orf185	114
SLC34A1_17658	SLC34A1	33
CCDC149_55718	CCDC149	81
WBSCR17_47729	WBSCR17	21
Non-Targeting Control_77354	Non-Targeting Control	200
SRGAP1_45718	SRGAP1	77
AQP3_1026	AQP3	49
TLR7_38358	TLR7	22
C1orf54_49443	C1orf54	34
ARHGEF12_32589	ARHGEF12	26
CHMP4A_36414	CHMP4A	32
RNF170_51904	RNF170	94
10-Mar_63503	10-Mar	29
CYP2C19_4368	CYP2C19	46
C9orf173_73134	C9orf173	197
TAAR9_60311	TAAR9	63
FN3KRP_49588	FN3KRP	15
11-Mar_73053	11-Mar	142
OAS3_12965	OAS3	67
CPS1_3820	CPS1	54
FGF17_23097	FGF17	47
ERC1_31681	ERC1	62
LNX1_54092	LNX1	65
GNA14_25413	GNA14	168
ZNF17_20497	ZNF17	120
KLK8_30469	KLK8	69
HSBP1L1_72937	HSBP1L1	64
ANGPTL6_52529	ANGPTL6	36
SALL1_16808	SALL1	22
CUBN_21199	CUBN	64
GRASP_63353	GRASP	73
PYURF_76287	PYURF	64
ACTL6B_38716	ACTL6B	96
MID1IP1_46673	MID1IP1	161
EPHA1_5645	EPHA1	38
Non-Targeting Control_76846	Non-Targeting Control	273
LGALS13_36555	LGALS13	68
TOPORS_27367	TOPORS	48
SMPD2_17798	SMPD2	9
C16orf78_58684	C16orf78	54
GPATCH2_41575	GPATCH2	86
PACSIN3_36583	PACSIN3	66
NBR1_10936	NBR1	19
SLC9A9_68062	SLC9A9	75
RABL3_68094	RABL3	24
ATF5_30891	ATF5	46
TCHH_19156	TCHH	33
TBPL1_25082	TBPL1	185
NYX_46932	NYX	112
OR10G3_35152	OR10G3	16
PABPC4_22902	PABPC4	41
DEF6_37276	DEF6	23
GSTK1_70230	GSTK1	34
NAT2_14	NAT2	72
TMEM126B_43616	TMEM126B	121
ATG101_46989	ATG101	60
STRA8_69768	STRA8	64
GALNT9_37255	GALNT9	19
TMED8_67423	TMED8	65
SDCBP2_35594	SDCBP2	120
ZNF350_46804	ZNF350	46
OR7G3_71868	OR7G3	86
Non-Targeting Control_76650	Non-Targeting Control	362
ANKS6_65088	ANKS6	70
ANKRD22_58098	ANKRD22	84
PRND_33356	PRND	104
BEND5_49531	BEND5	108
WDR83OS_38692	WDR83OS	15
UTRN_20068	UTRN	59
FGF7_6257	FGF7	140
COL20A1_46095	COL20A1	31
ZNF250_46607	ZNF250	47
AP5Z1_26388	AP5Z1	189
CCBL2_44193	CCBL2	119
NAP1L5_67086	NAP1L5	41
LCN12_68414	LCN12	22
ANO5_65135	ANO5	218
ACTC1_191	ACTC1	73
LOC101928093_76359	LOC101928093	88
PELI3_66228	PELI3	72
CDH6_2849	CDH6	134
POMT2_36895	POMT2	92
PPM1B_14552	PPM1B	322
RAB26_33863	RAB26	97
SYNGR1_24015	SYNGR1	129
LOC643355_73780	LOC643355	39
GATA1_6908	GATA1	50
CADPS2_56599	CADPS2	152
OR2L2_34830	OR2L2	65
NXPH4_30583	NXPH4	104
IQGAP2_29174	IQGAP2	41
TRIM3_28667	TRIM3	31
TPRX1_67783	TPRX1	62
MFSD4_62075	MFSD4	49
FAM47E-STBD1_76205	FAM47E-STBD1	72
Non-Targeting Control_77389	Non-Targeting Control	196
Non-Targeting Control_76803	Non-Targeting Control	290
STRN3_36930	STRN3	70
LACTB2_37840	LACTB2	54
NANOGNB_70209	NANOGNB	96
ASMT_1261	ASMT	95
ANKMY2_44876	ANKMY2	30
PHACTR4_48525	PHACTR4	240
SCAMP3_26895	SCAMP3	13
GLIPR1L1_66803	GLIPR1L1	36
HLA-F_8454	HLA-F	39
SCN9A_16913	SCN9A	38
DECR2_34497	DECR2	47
ZNF879_69686	ZNF879	52
TMEM39A_42098	TMEM39A	150
ZNF551_55364	ZNF551	94
ZSCAN4_64907	ZSCAN4	70
C11orf40_61189	C11orf40	78
PITRM1_28396	PITRM1	146
ZFHX3_1295	ZFHX3	24
ZNF280C_42781	ZNF280C	38
TAS2R42_70111	TAS2R42	83
MESDC2_31995	MESDC2	114
DCAF15_55440	DCAF15	3
CT83_65096	CT83	223
SUSD5_34391	SUSD5	74
CXorf36_49815	CXorf36	75
JAK2_9903	JAK2	112
STX12_33451	STX12	92
POSTN_28736	POSTN	30
R3HDM1_33024	R3HDM1	50
GNAI2_7311	GNAI2	112
THEM4_57890	THEM4	136
TFDP3_38308	TFDP3	55
TMEM222_52821	TMEM222	22
CROT_40396	CROT	31
SLC28A2_24042	SLC28A2	82
OR51A7_58171	OR51A7	17
GPR135_47841	GPR135	43
NWD1_67870	NWD1	62
CLN5_3410	CLN5	70
OR13C3_60624	OR13C3	129
ERGIC3_39144	ERGIC3	87
LMNTD1_63346	LMNTD1	109
SLCO3A1_36163	SLCO3A1	15
PIP5K1B_21822	PIP5K1B	153
GSG1_52103	GSG1	82
GMCL1_47695	GMCL1	64
Non-Targeting Control_77141	Non-Targeting Control	223
Non-Targeting Control_77391	Non-Targeting Control	395
PIGP_38179	PIGP	97
TMEM155_60064	TMEM155	76
TRAPPC6B_58481	TRAPPC6B	96
ZNF791_63610	ZNF791	39
OR51L1_58168	OR51L1	50
AHI1_40617	AHI1	164
GPX6_66888	GPX6	156
OR51B6_71560	OR51B6	98
MUM1_54549	MUM1	37
ADGRV1_52798	ADGRV1	41
OSBPL5_57299	OSBPL5	41
KLF9_1912	KLF9	30
CCL8_16984	CCL8	45
ANO5_65136	ANO5	40
CUL5_21239	CUL5	18
TACSTD2_10915	TACSTD2	49
CDHR5_39668	CDHR5	34
LEPROT_40474	LEPROT	119
STAU2_35487	STAU2	26
TMED7-TICAM2_75741	TMED7-TICAM2	27
CHST13_63871	CHST13	56
WASF1_23455	WASF1	68
FOXR2_60735	FOXR2	65
SLC9A7_54011	SLC9A7	127
OR1S2_65467	OR1S2	101
ARHGAP5_1136	ARHGAP5	46
PRSS50_36548	PRSS50	75
TXNDC5_51711	TXNDC5	72
RAB39A_40456	RAB39A	157
NLGN3_39888	NLGN3	52
TXNDC16_45794	TXNDC16	82
SUCLG1_23025	SUCLG1	51
CHIT1_3168	CHIT1	101
BPIFB3_70193	BPIFB3	42
SART3_25781	SART3	29
Non-Targeting Control_76737	Non-Targeting Control	241
TMEM117_53125	TMEM117	25
PAK6_44595	PAK6	50
PITX3_14033	PITX3	94
TMEM81_71173	TMEM81	51
UGT1A5_40276	UGT1A5	58
GFPT2_26521	GFPT2	36
ZNF709_63620	ZNF709	120
EYA1_5919	EYA1	205
GPC1_7463	GPC1	147
SUMF1_68129	SUMF1	110
ELF2_5508	ELF2	92
TATDN1_52702	TATDN1	47
C15orf65_61479	C15orf65	85
PPP5D1_75859	PPP5D1	112
C15orf48_53573	C15orf48	45
ERMAP_57145	ERMAP	52
SPAG9_23672	SPAG9	28
TAX1BP1_23306	TAX1BP1	46
KRTAP1-3_51965	KRTAP1-3	68
NLRP4_61908	NLRP4	66
LAMA1_67689	LAMA1	72
ITPRIPL1_62402	ITPRIPL1	48
OR5D18_65254	OR5D18	349
C2orf50_59871	C2orf50	98
SLC27A4_29802	SLC27A4	122
SLC35C2_37510	SLC35C2	46
RNF26_48954	RNF26	55
OSTM1_36228	OSTM1	65
SLC2A3_17468	SLC2A3	15
FOXE3_6401	FOXE3	113
BEX1_43599	BEX1	78
SPP2_18084	SPP2	53
ICAM4_9106	ICAM4	192
VPS28_37997	VPS28	43
SLC9B1_62264	SLC9B1	98
ZNF226_20860	ZNF226	93
CLDN5_19352	CLDN5	24
TMPRSS7_69633	TMPRSS7	149
MN1_11651	MN1	92
SLC25A48_62767	SLC25A48	52
ECM2_5137	ECM2	40
PPT2_24647	PPT2	34
NFYA_12573	NFYA	99
ETV1_5845	ETV1	60
RNF207_71108	RNF207	138
MIF4GD_45432	MIF4GD	62
STK3_18404	STK3	22
DSC2_5069	DSC2	26
CEACAM3_3092	CEACAM3	321
GSTM3_7897	GSTM3	99
ACMSD_59758	ACMSD	136
ACIN1_31375	ACIN1	64
CPXM2_58154	CPXM2	69
NRCAM_12842	NRCAM	145
PGLYRP3_57166	PGLYRP3	34
HLA-DRB5_8441	HLA-DRB5	214
HIC2_31786	HIC2	15
SDR9C7_58329	SDR9C7	3
Non-Targeting Control_77276	Non-Targeting Control	261
EIF3H_22621	EIF3H	22
CT47A5_74553	CT47A5	29
CIAPIN1_44857	CIAPIN1	100
ANKRD16_40149	ANKRD16	83
SETD5_41936	SETD5	31
PRB2_74273	PRB2	55
CT55_41165	CT55	85
TBCK_56570	TBCK	73
LRRC8E_50752	LRRC8E	23
OR2W5_73220	OR2W5	97
CSTB_4151	CSTB	7
ZFP28_60858	ZFP28	56
ADPRHL2_41056	ADPRHL2	51
ENTHD1_62311	ENTHD1	55
OR4F6_71832	OR4F6	54
NFASC_31774	NFASC	71
RELL1_75099	RELL1	58
C4BPB_1997	C4BPB	22
CECR2_36150	CECR2	282
PATE2_72161	PATE2	182
ICOSLG_32408	ICOSLG	60
RNASE6_16192	RNASE6	119
THOC3_53479	THOC3	28
HPCAL1_8790	HPCAL1	91
GAREM_47982	GAREM	96
C9orf172_71496	C9orf172	28
SLFN11_55901	SLFN11	83
C19orf47_59175	C19orf47	78
MYZAP_76222	MYZAP	110
GRAMD4_31884	GRAMD4	78
LYSMD3_57624	LYSMD3	195
KDM5D_21501	KDM5D	22
C6orf89_65819	C6orf89	14
C1RL_38335	C1RL	75
CSRP2BP_45346	CSRP2BP	105
PRR14_48647	PRR14	165
RIOK1_52431	RIOK1	30
SYNPR_60038	SYNPR	140
FKBP11_38429	FKBP11	122
PCDHA4_44039	PCDHA4	36
PERP_47283	PERP	159
MTX1_11903	MTX1	103
SERPINE1_13271	SERPINE1	34
GLRX_7258	GLRX	183
CEACAM18_74982	CEACAM18	164
Non-Targeting Control_76956	Non-Targeting Control	199
NKAIN1_49281	NKAIN1	149
FKBP10_47014	FKBP10	52
PTPRT_30180	PTPRT	23
CKAP2L_62346	CKAP2L	28
FPGT_22983	FPGT	38
OLIG3_63975	OLIG3	121
CSMD2_57183	CSMD2	31
ARL14_50719	ARL14	22
WHSC1_20251	WHSC1	38
ITGB2_9804	ITGB2	54
RAET1L_62857	RAET1L	100
TDP2_39053	TDP2	39
NFIC_12527	NFIC	70
PRDM8_44752	PRDM8	94
CYB5D2_58868	CYB5D2	11
ZNF608_45667	ZNF608	68
TSTD2_63171	TSTD2	23
LRRC75B_71212	LRRC75B	39
RAB3D_25169	RAB3D	58
SLC30A3_20896	SLC30A3	21
Non-Targeting Control_76703	Non-Targeting Control	199
PHOX2B_23432	PHOX2B	234
SPTBN1_18148	SPTBN1	31
ST20_72202	ST20	70
C8orf87_71445	C8orf87	43
ABLIM2_53630	ABLIM2	10
XCL1_17053	XCL1	64
USP44_52903	USP44	53
OR3A2_13092	OR3A2	48
KRTAP15-1_66532	KRTAP15-1	25
CCDC71_48260	CCDC71	114
CD99L2_52365	CD99L2	80
ZFP82_67839	ZFP82	36
OR5K3_72614	OR5K3	45
KLHL7_43826	KLHL7	124
GAGE2B_73979	GAGE2B	108
JMJD7_75504	JMJD7	41
GFPT2_26522	GFPT2	59
SERINC5_66838	SERINC5	22
WDR81_58896	WDR81	45
Non-Targeting Control_76894	Non-Targeting Control	316
SYNDIG1L_74125	SYNDIG1L	45
FAM102A_72099	FAM102A	44
HLA-DOB_8407	HLA-DOB	30
OR5D13_71629	OR5D13	14
PIGG_40841	PIGG	22
SYNJ1_23240	SYNJ1	91
PPAN-P2RY11_74463	PPAN-P2RY11	68
ZNF805_71892	ZNF805	141
ZNF165_20743	ZNF165	15
ZNF234_29144	ZNF234	22
PDE2A_13502	PDE2A	32
SH3TC2_49435	SH3TC2	74
CDKN2AIPNL_55812	CDKN2AIPNL	226
EPHB6_5686	EPHB6	113
LCORL_66443	LCORL	37
MERTK_28160	MERTK	86
ZAP70_20411	ZAP70	127
CMC2_44651	CMC2	205
ALDH9A1_631	ALDH9A1	102
TMEM14E_74047	TMEM14E	79
SMPDL3A_29564	SMPDL3A	127
MBD2_23438	MBD2	182
METTL18_56213	METTL18	83
EXOSC6_58028	EXOSC6	13
KLHL13_55383	KLHL13	160
GATA6_6922	GATA6	105
DPH7_56327	DPH7	64
OR4K1_49267	OR4K1	13
FAM131A_59943	FAM131A	15
GPR180_63384	GPR180	38
IFT52_37793	IFT52	56
TAF11_18671	TAF11	38
PPP3R1_14679	PPP3R1	76
TAF5L_35566	TAF5L	218
LCE3C_70098	LCE3C	61
MYBPC2_11983	MYBPC2	27
TBC1D15_48059	TBC1D15	144
PNMA2_28918	PNMA2	63
CAPZA3_56590	CAPZA3	54
TKTL1_21498	TKTL1	122
BTBD6_55316	BTBD6	103
NUDT2_874	NUDT2	64
NOX3_37223	NOX3	58
THSD1_43692	THSD1	214
TRPC4_19605	TRPC4	50
IL1R1_9382	IL1R1	82
Non-Targeting Control_77208	Non-Targeting Control	125
UAP1_18036	UAP1	57
TAF5_18651	TAF5	48
OR51A2_72512	OR51A2	127
ZNF397_53427	ZNF397	16
MRFAP1L1_57370	MRFAP1L1	81
MEIS1_11336	MEIS1	85
APAF1_871	APAF1	43
PODN_59359	PODN	16
FASTKD5_46918	FASTKD5	4
KRTAP19-2_68647	KRTAP19-2	139
FOXO1_6431	FOXO1	238
DHRS7C_64819	DHRS7C	16
SYT13_45935	SYT13	29
TRPC5OS_75760	TRPC5OS	60
DDR1_2166	DDR1	174
FRMD8_52493	FRMD8	53
C17orf96_75540	C17orf96	29
TLN1_19267	TLN1	31
ALPPL2_697	ALPPL2	130
PAPSS1_23737	PAPSS1	93
PCDHA12_44013	PCDHA12	110
RPL36A-HNRNPH2_76102	RPL36A-HNRNPH2	89
ACSF3_64515	ACSF3	136
UPB1_39394	UPB1	17
HGC6.3_75152	HGC6.3	122
SCP2_16942	SCP2	178
DLGAP1_24247	DLGAP1	35
PGA3_73848	PGA3	250
PTPN18_35024	PTPN18	151
TMEM253_73790	TMEM253	43
USP32_53987	USP32	55
DMGDH_36908	DMGDH	62
MTCH1_33585	MTCH1	89
TMEM14B_51971	TMEM14B	17
AQP9_1048	AQP9	36
DIP2C_31365	DIP2C	88
COQ7_27440	COQ7	5
Non-Targeting Control_76924	Non-Targeting Control	244
LRRC38_59218	LRRC38	22
C9orf153_71477	C9orf153	80
SLFN12_41582	SLFN12	52
PRR16_38535	PRR16	52
PIGP_38182	PIGP	74
EBF4_45959	EBF4	94
CALHM1_66544	CALHM1	121
DMTN_5640	DMTN	76
FZD8_21606	FZD8	108
CHD5_34416	CHD5	31
MSX1_11798	MSX1	44
IFT57_41508	IFT57	35
TTC22_41275	TTC22	60
SLC25A12_22413	SLC25A12	75
TFPI2_21144	TFPI2	31
ARHGEF38_40753	ARHGEF38	25
ZNF652_30939	ZNF652	88
CARD18_46716	CARD18	65
MICU3_68355	MICU3	80
SMIM3_54749	SMIM3	65
HSD17B4_8898	HSD17B4	58
FBXL19_40324	FBXL19	55
GOSR2_25245	GOSR2	72
STEAP1B_66731	STEAP1B	194
CD163L1_67311	CD163L1	77
PCYT1A_13477	PCYT1A	28
CCBL1_2459	CCBL1	72
KLHL1_46064	KLHL1	102
GDNF_7049	GDNF	71
SGTA_17266	SGTA	12
GTF2E2_7937	GTF2E2	14
C8orf4_44481	C8orf4	107
FGFBP3_61163	FGFBP3	20
CDKN2A_2937	CDKN2A	124
FMOD_6507	FMOD	137
FAT2_6098	FAT2	80
CRABP1_3847	CRABP1	163
PRKACA_14779	PRKACA	59
ZNF676_63663	ZNF676	50
COL9A1_3617	COL9A1	49
OR5W2_71639	OR5W2	113
MAT2B_36123	MAT2B	82
TSPAN9_29363	TSPAN9	33
SSX3_27383	SSX3	161
OR6S1_69349	OR6S1	17
C16orf95_75903	C16orf95	147
MS4A3_2613	MS4A3	205
VHLL_71924	VHLL	107
ARMC4_41662	ARMC4	55
ZXDA_20916	ZXDA	118
BCAS1_22242	BCAS1	9
BRSK1_53619	BRSK1	139
Non-Targeting Control_76667	Non-Targeting Control	279
FAM229B_73637	FAM229B	97
TFIP11_33617	TFIP11	51
CGB7_56643	CGB7	139
SLC26A5_70523	SLC26A5	4
PAX7_13346	PAX7	61
ZNF282_21898	ZNF282	26
SCN4A_16896	SCN4A	74
XAGE3_64190	XAGE3	106
LPL_10768	LPL	77
CCNK_23057	CCNK	154
DYNC1LI2_4930	DYNC1LI2	74
BCL2L14_49200	BCL2L14	51
ADCY1_278	ADCY1	40
ITPKC_51035	ITPKC	34
GUCY2F_8019	GUCY2F	37
NOL4L_60894	NOL4L	54
REEP3_65660	REEP3	115
C22orf42_62307	C22orf42	98
CHN1_3186	CHN1	56
RPUSD2_35523	RPUSD2	115
CENPO_49069	CENPO	24
PAPPA_13307	PAPPA	2
MAGEA4_11010	MAGEA4	103
PDSS1_33251	PDSS1	39
ICAM4_9108	ICAM4	48
ATG9A_48835	ATG9A	41
NFIA_12499	NFIA	77
Non-Targeting Control_76619	Non-Targeting Control	350
RBAK-RBAKDN_76182	RBAK-RBAKDN	93
STX18_39591	STX18	27
RALYL_60543	RALYL	65
KLK4_25389	KLK4	157
LEPROT_40472	LEPROT	82
FRRS1L_33499	FRRS1L	71
ZNF226_20858	ZNF226	60
E2F5_5217	E2F5	75
PHGDH_34779	PHGDH	65
UBE2Q1_42715	UBE2Q1	43
CYP2C19_4367	CYP2C19	49
KCTD6_64772	KCTD6	83
BBS7_41947	BBS7	83
CPXM2_58156	CPXM2	149
PON1_14419	PON1	40
ZBTB16_20705	ZBTB16	101
CNTFR_3537	CNTFR	109
CLCN6_3361	CLCN6	21
PDK2_13608	PDK2	35
C11orf86_66478	C11orf86	49
LHX5_47528	LHX5	34
GABPB2_59190	GABPB2	42
OPN1MW2_74704	OPN1MW2	330
LOC100129520_75213	LOC100129520	106
NOMO3_72719	NOMO3	26
MOSPD3_47850	MOSPD3	6
MX1_11956	MX1	59
LRWD1_65972	LRWD1	204
UFD1L_19932	UFD1L	81
BRINP1_4539	BRINP1	38
Non-Targeting Control_76620	Non-Targeting Control	401
DCXR_38059	DCXR	219
DGUOK_4735	DGUOK	89
IFFO1_34030	IFFO1	107
NTSR1_12923	NTSR1	86
ATMIN_32378	ATMIN	39
SLC39A9_42364	SLC39A9	44
MLKL_64508	MLKL	33
MCCC1_44587	MCCC1	23
SLC22A24_67283	SLC22A24	209
TSPAN10_52600	TSPAN10	109
ABL1_67	ABL1	56
RNF225_74145	RNF225	97
USP53_40159	USP53	18
ZNF630_45335	ZNF630	40
SHMT2_17323	SHMT2	99
NAAA_35726	NAAA	39
KIAA1191_45211	KIAA1191	81
GPM6B_7485	GPM6B	110
VPS8_32555	VPS8	33
CYGB_57155	CYGB	42
KMT2E_43700	KMT2E	47
MED13L_32664	MED13L	134
ZNF655_48754	ZNF655	54
ONECUT1_8561	ONECUT1	66
ZNF611_51982	ZNF611	90
DIAPH3_51828	DIAPH3	39
SEC31B_34188	SEC31B	71
OR11G2_71789	OR11G2	57
IFNE_68724	IFNE	121
GK5_66753	GK5	54
EFHC2_51011	EFHC2	78
OR5M10_71666	OR5M10	50
TEKT3_47826	TEKT3	38
ARL11_57562	ARL11	86
MFHAS1_24329	MFHAS1	61
TSC1_19630	TSC1	68
Non-Targeting Control_76823	Non-Targeting Control	251
MTMR4_23885	MTMR4	58
IFNA5_9214	IFNA5	74
CD247_2566	CD247	64
CST3_4130	CST3	138
CEBPE_3014	CEBPE	101
HINT1_8351	HINT1	38
C22orf42_62306	C22orf42	57
Non-Targeting Control_77201	Non-Targeting Control	204
OR4S2_65238	OR4S2	73
MEF2A_11316	MEF2A	155
SMG9_43847	SMG9	21
TSPAN33_69147	TSPAN33	73
C16orf74_72675	C16orf74	157
LDOC1L_53210	LDOC1L	182
NUDT3_30338	NUDT3	112
HCAR3_23174	HCAR3	80
SLCO4A1_36159	SLCO4A1	61
ST6GAL1_17347	ST6GAL1	11
KLHL6_55172	KLHL6	113
FAM134A_48978	FAM134A	26
KLHDC1_58535	KLHDC1	72
STON2_54920	STON2	69
TMEM35_46823	TMEM35	142
TAF5_18649	TAF5	91
CARD8_31166	CARD8	40
ABHD3_64315	ABHD3	22
HINT1_8352	HINT1	79
FAM229A_75150	FAM229A	109
CYLC2_4325	CYLC2	29
SMPD4_42848	SMPD4	28
HIST1H2BG_21654	HIST1H2BG	176
CXCL6_17041	CXCL6	233
TMEM181_45925	TMEM181	44
CAPN5_2003	CAPN5	136
A4GNT_37957	A4GNT	47
ABCD1_598	ABCD1	80
TMEM98_34369	TMEM98	29
SRPX2_35925	SRPX2	46
GTF3C2_7983	GTF3C2	22
LDAH_46941	LDAH	30
ZNF799_55538	ZNF799	52
SPPL2C_63546	SPPL2C	63
FZD8_21608	FZD8	127
FBXL17_48138	FBXL17	62
ZIC2_20445	ZIC2	188
MMAA_63907	MMAA	32
RAP1A_15804	RAP1A	58
PLCG2_14133	PLCG2	24
OR5M11_65293	OR5M11	48
CERS4_49369	CERS4	20
PRKCB_14823	PRKCB	15
OAS3_12968	OAS3	19
WDR54_52792	WDR54	32
IPMK_66300	IPMK	130
TTC30B_62394	TTC30B	55
OR5T1_71653	OR5T1	43
SLC16A4_23926	SLC16A4	58
EMC7_44439	EMC7	20
ZBTB12_65840	ZBTB12	221
OR6F1_69510	OR6F1	54
PLEKHJ1_41600	PLEKHJ1	112
SCARA5_68365	SCARA5	32
FAM47E_75223	FAM47E	32
SULT1A2_18429	SULT1A2	117
SLC22A3_17701	SLC22A3	137
USP22_32463	USP22	120
AMN_51874	AMN	119
MAP6D1_50383	MAP6D1	169
LOC400736_72260	LOC400736	226
NPC1L1_36685	NPC1L1	55
ZNF585B_56180	ZNF585B	232
C9orf62_63087	C9orf62	71
SLC2A13_57105	SLC2A13	56
ITPRIPL1_62401	ITPRIPL1	28
MTURN_65951	MTURN	25
ARID3C_60602	ARID3C	10
ZNF563_61876	ZNF563	48
TMTC1_52541	TMTC1	34
HBB_8197	HBB	61
SRXN1_60992	SRXN1	76
STAG1_27595	STAG1	120
TOPAZ1_70478	TOPAZ1	59
CCDC160_69830	CCDC160	95
C2orf83_44575	C2orf83	42
FOSB_6549	FOSB	18
RAB43_68848	RAB43	115
MICU2_65710	MICU2	76
CTXN1_72663	CTXN1	85
Non-Targeting Control_76701	Non-Targeting Control	392
BMP7_1794	BMP7	56
CDH7_2853	CDH7	25
PHYHIP_26007	PHYHIP	19
ALX3_701	ALX3	93
UBP1_19895	UBP1	67
PRSS1_15039	PRSS1	40
DNAJB7_62316	DNAJB7	64
STOM_5641	STOM	71
DYX1C1_63448	DYX1C1	25
ENO4_70819	ENO4	35
PNPLA1_68291	PNPLA1	15
MGAT2_11432	MGAT2	27
ULBP3_49252	ULBP3	39
ZNF835_55493	ZNF835	58
Non-Targeting Control_77069	Non-Targeting Control	265
ZC3H15_43585	ZC3H15	43
Non-Targeting Control_77436	Non-Targeting Control	250
Non-Targeting Control_77278	Non-Targeting Control	201
EMC10_67793	EMC10	7
UFC1_38900	UFC1	41
GABRR3_64810	GABRR3	58
OR5A1_65497	OR5A1	125
CLMP_50063	CLMP	94
SLC2A9_44292	SLC2A9	18
SEMA5A_23654	SEMA5A	31
TMEM14C_38933	TMEM14C	48
FAR1_53080	FAR1	76
ZNF532_41919	ZNF532	116
RGS14_28756	RGS14	107
OR2T34_59292	OR2T34	60
TNNT1_19407	TNNT1	104
NAALAD2_26693	NAALAD2	89
PASK_31982	PASK	65
TBX1_18726	TBX1	80
DYNAP_67699	DYNAP	84
KLHL32_57212	KLHL32	120
TDRP_63038	TDRP	33
RBM41_42202	RBM41	28
XPNPEP2_20353	XPNPEP2	180
RPTN_59198	RPTN	36
JRKL_22694	JRKL	25
KLHDC2_33244	KLHDC2	43
SH3PXD2B_68206	SH3PXD2B	22
MUC7_11928	MUC7	62
DHRS3_24306	DHRS3	23
TRPT1_52405	TRPT1	89
OSBPL7_57308	OSBPL7	59
WISP1_23164	WISP1	124
ACOT1_73651	ACOT1	14
IMPG2_37458	IMPG2	30
TCF25_31356	TCF25	24
KIF13B_32390	KIF13B	25
TMEM41A_55451	TMEM41A	81
ARMCX2_26089	ARMCX2	141
TCL1B_25395	TCL1B	40
HMHA1_33051	HMHA1	124
GPRASP1_25800	GPRASP1	135
NELFE_21102	NELFE	77
WFDC6_61035	WFDC6	36
MAPK6_14896	MAPK6	78
CCDC28A_34032	CCDC28A	266
SLC25A47_67434	SLC25A47	70
LRRC47_45548	LRRC47	12
GSTK1_70232	GSTK1	93
AAGAB_49737	AAGAB	33
OR2T3_69521	OR2T3	76
PRR23B_71302	PRR23B	152
MAPKBP1_31436	MAPKBP1	89
BCO1_39603	BCO1	100
ZNF85_20626	ZNF85	110
SYVN1_53625	SYVN1	14
ZFR_39255	ZFR	39
SLITRK5_34454	SLITRK5	127
TMEM11_23138	TMEM11	20
RBM46_63923	RBM46	11
PYGM_15620	PYGM	42
TMOD3_36593	TMOD3	83
IZUMO1_67792	IZUMO1	115
LAIR1_10449	LAIR1	44
ECI1_4568	ECI1	17
C17orf58_67593	C17orf58	23
C17orf100_70984	C17orf100	50
ZNF81_69804	ZNF81	135
KRTAP9-7_75845	KRTAP9-7	125
C11orf52_56050	C11orf52	97
Non-Targeting Control_77108	Non-Targeting Control	140
BOLL_48621	BOLL	48
KIAA1755_54951	KIAA1755	148
CYP27B1_4458	CYP27B1	104
MOCS2_11675	MOCS2	20
RGS7_16108	RGS7	263
CPSF3_39307	CPSF3	17
ST8SIA5_36752	ST8SIA5	83
TSPO_1948	TSPO	151
CXorf66_69834	CXorf66	40
NAGK_42702	NAGK	44
MAGEB5_69852	MAGEB5	123
EGFLAM_60175	EGFLAM	25
ITPKC_51036	ITPKC	31
HIST3H2BB_59499	HIST3H2BB	45
PTBP3_26665	PTBP3	105
TRMT1_42824	TRMT1	36
HTN1_9007	HTN1	40
HYLS1_65392	HYLS1	35
SAMHD1_34144	SAMHD1	56
GRXCR2_73756	GRXCR2	160
NXNL2_63098	NXNL2	33
LRFN5_61454	LRFN5	104
NDUFA10_12307	NDUFA10	74
EHHADH_5412	EHHADH	121
FCRLA_54245	FCRLA	102
ADH1C_342	ADH1C	67
GOLGA8O_74538	GOLGA8O	57
FBXL20_54626	FBXL20	64
RBMY1E_70634	RBMY1E	34
LPAR5_45046	LPAR5	78
PRKAB2_14773	PRKAB2	93
RGL1_31983	RGL1	79
LRRC32_6878	LRRC32	109
IMPAD1_41025	IMPAD1	152
SPATS2L_34333	SPATS2L	87
ADAL_63468	ADAL	37
KCNH5_35657	KCNH5	48
ZNF639_38097	ZNF639	48
IKBKB_9372	IKBKB	93
CCL14_16996	CCL14	81
IVL_9892	IVL	112
CHRM5_3213	CHRM5	36
GHITM_35498	GHITM	7
MBL2_11181	MBL2	188
TMEM254_50877	TMEM254	101
KRT13_10355	KRT13	220
C2CD2_34215	C2CD2	33
KCNE1_10006	KCNE1	64
MUC22_75997	MUC22	88
MAPK8IP2_33104	MAPK8IP2	67
MAN1A1_11069	MAN1A1	14
STK17B_24344	STK17B	92
RAET1L_62859	RAET1L	91
ABR_84	ABR	48
ERO1L_37028	ERO1L	11
MFSD9_54205	MFSD9	80
ESD_5800	ESD	154
MGAT5B_61623	MGAT5B	104
NUP214_21181	NUP214	18
EPN2_31184	EPN2	101
PRPSAP1_15019	PRPSAP1	26
FAM206A_41081	FAM206A	15
KCNK15_46971	KCNK15	36
C1orf226_72274	C1orf226	36
PDZD4_45969	PDZD4	169
CLPSL1_69114	CLPSL1	66
GTSF1_58369	GTSF1	100
