sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
ICAM4_9106	ICAM4	326
XPO6_32106	XPO6	86
DNAJC10_39901	DNAJC10	99
CDON_37452	CDON	63
MOSPD1_44108	MOSPD1	363
PKNOX1_14057	PKNOX1	96
SLC39A5_67336	SLC39A5	57
CSTA_4148	CSTA	60
IDS_9164	IDS	291
VAV2_20094	VAV2	172
PDE12_64924	PDE12	127
C17orf64_58811	C17orf64	281
RARA_15831	RARA	240
CLDND1_44322	CLDND1	140
OR2A25_72003	OR2A25	35
PTPRT_30179	PTPRT	22
FXYD5_39630	FXYD5	25
RFNG_16052	RFNG	77
SLC31A1_3686	SLC31A1	118
SLC24A4_58577	SLC24A4	645
OR2T8_69520	OR2T8	418
AKR1C3_22544	AKR1C3	71
ERI2_56800	ERI2	125
HSPB2_8963	HSPB2	59
NAT8B_38828	NAT8B	151
PGLYRP2_57164	PGLYRP2	110
ATP2A3_1375	ATP2A3	73
ZNF285_35345	ZNF285	255
GAB2_26168	GAB2	127
VRK1_20192	VRK1	74
SIK1_62257	SIK1	342
Non-Targeting Control_77111	Non-Targeting Control	307
KIF12_56963	KIF12	58
C16orf62_44862	C16orf62	55
VIP_20164	VIP	54
WFIKKN1_57917	WFIKKN1	317
MKRN3_20656	MKRN3	64
RNASE10_68832	RNASE10	204
ZNF200_20805	ZNF200	104
ZNF10_20477	ZNF10	68
TRIP11_24477	TRIP11	136
PTCD2_50008	PTCD2	120
DEFB113_66144	DEFB113	78
IL1RAPL2_34937	IL1RAPL2	251
FAM166A_72491	FAM166A	214
NIPA1_58625	NIPA1	207
IRF2_9704	IRF2	37
Non-Targeting Control_76940	Non-Targeting Control	424
Non-Targeting Control_76554	Non-Targeting Control	500
SLMO1_28797	SLMO1	134
TFAP4_19020	TFAP4	46
CYSLTR2_44993	CYSLTR2	217
SIK2_32178	SIK2	139
GNMT_35815	GNMT	92
PEX11B_23014	PEX11B	72
BIRC2_917	BIRC2	50
VASP_20088	VASP	29
ZBTB33_26720	ZBTB33	201
SPHKAP_51081	SPHKAP	115
ALKBH6_54634	ALKBH6	135
CDK11A_74752	CDK11A	441
PMS2_14288	PMS2	561
MTTP_11891	MTTP	27
UBXN6_51226	UBXN6	184
DPP9_55712	DPP9	30
CLK1_3390	CLK1	136
WDR13_47921	WDR13	114
SORCS2_45770	SORCS2	36
CDT1_51814	CDT1	28
ZNF484_52464	ZNF484	123
Non-Targeting Control_77305	Non-Targeting Control	634
TMEM252_64081	TMEM252	107
BTNL2_44137	BTNL2	136
ADGRG6_45284	ADGRG6	58
VCY_23812	VCY	261
ENTHD1_62312	ENTHD1	56
ABCA5_32861	ABCA5	23
TTC36_61251	TTC36	98
RIPK2_22917	RIPK2	171
SYNE1_32522	SYNE1	194
MYCN_12004	MYCN	39
GPC4_6211	GPC4	259
METTL6_60007	METTL6	150
RAB31_29905	RAB31	84
PRAF2_30535	PRAF2	309
