sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
ALMS1_20975	ALMS1	169
STRN_18433	STRN	71
LY6E_10880	LY6E	71
DEDD2_63595	DEDD2	58
ASPRV1_62513	ASPRV1	95
IGLL1_9354	IGLL1	182
SEC14L6_75029	SEC14L6	149
Non-Targeting Control_76669	Non-Targeting Control	961
ZNF420_61899	ZNF420	22
HP_8787	HP	78
CERK_48039	CERK	184
METTL20_66386	METTL20	101
OR10T2_59516	OR10T2	119
IPO8_28377	IPO8	113
Non-Targeting Control_77297	Non-Targeting Control	738
Non-Targeting Control_76952	Non-Targeting Control	180
SMUG1_33225	SMUG1	304
EREG_5749	EREG	251
HRG_8847	HRG	94
Non-Targeting Control_76611	Non-Targeting Control	649
LRRC38_59220	LRRC38	180
ZNF410_46477	ZNF410	369
Non-Targeting Control_76626	Non-Targeting Control	1122
SGK223_63000	SGK223	77
SCUBE1_51045	SCUBE1	105
Non-Targeting Control_76759	Non-Targeting Control	149
TBC1D15_48059	TBC1D15	349
RPS6KB2_16531	RPS6KB2	349
ARID3C_60602	ARID3C	43
VASN_57390	VASN	307
C8orf82_72794	C8orf82	106
OR2B2_51882	OR2B2	189
FAM46B_57516	FAM46B	540
HTR3E_68081	HTR3E	82
Non-Targeting Control_76603	Non-Targeting Control	688
TMEM164_53076	TMEM164	78
DLX5_4839	DLX5	259
TMSB4X_19347	TMSB4X	126
SLC25A42_67873	SLC25A42	385
TNK2_27286	TNK2	171
C10orf35_65357	C10orf35	80
FBXO24_34874	FBXO24	168
JMY_60196	JMY	185
XG_20336	XG	96
SLC34A1_17660	SLC34A1	52
STX1A_18438	STX1A	73
FAM19A5_33791	FAM19A5	76
MLH3_35429	MLH3	177
HADHA_8153	HADHA	104
OR5AP2_68777	OR5AP2	137
SLC22A16_54891	SLC22A16	199
CBWD6_73889	CBWD6	345
Non-Targeting Control_77314	Non-Targeting Control	543
USP3_26569	USP3	46
SLC19A1_17676	SLC19A1	107
PRR19_67750	PRR19	85
PTH1R_15374	PTH1R	109
C2orf61_68023	C2orf61	111
NR1H3_26883	NR1H3	282
CCDC158_69057	CCDC158	153
NDRG1_27951	NDRG1	172
KIDINS220_45645	KIDINS220	124
Non-Targeting Control_76972	Non-Targeting Control	563
LOC283710_67475	LOC283710	110
GRHL1_36651	GRHL1	199
PFKFB1_13740	PFKFB1	298
SMIM19_57363	SMIM19	183
DPY19L1_32490	DPY19L1	30
PTCH1_15312	PTCH1	112
GPC1_7462	GPC1	126
VSTM5_70863	VSTM5	63
C1QA_1959	C1QA	337
PHPT1_36420	PHPT1	115
OR2M7_71969	OR2M7	242
PTPN9_15437	PTPN9	163
ATXN7L1_65988	ATXN7L1	257
FBXL14_61361	FBXL14	338
USP18_30670	USP18	84
Non-Targeting Control_76654	Non-Targeting Control	892
Non-Targeting Control_76946	Non-Targeting Control	466
SLC4A11_52720	SLC4A11	194
KDR_10144	KDR	31
PGAP1_50665	PGAP1	223
RAB3D_25170	RAB3D	60
AIMP1_24322	AIMP1	226
Non-Targeting Control_76638	Non-Targeting Control	750
LUZP1_20923	LUZP1	196
ZNF577_54155	ZNF577	110
CD248_45052	CD248	195
SLC26A3_5027	SLC26A3	210
SRD5A3_49492	SRD5A3	66
WDR90_64518	WDR90	53
POLR2M_51593	POLR2M	60
ZNF559-ZNF177_76111	ZNF559-ZNF177	69
FAM122C_63272	FAM122C	295
OR2W5_73217	OR2W5	42
OPN1MW2_74704	OPN1MW2	488
VANGL1_51940	VANGL1	108
GSX1_65221	GSX1	40
KRTAP7-1_68605	KRTAP7-1	210
PHACTR4_48523	PHACTR4	326
KRTAP10-3_70692	KRTAP10-3	306
MRPS33_39226	MRPS33	175
S100P_16770	S100P	124
CDY1B_66281	CDY1B	62
Non-Targeting Control_77205	Non-Targeting Control	417
ATG4B_32026	ATG4B	125
Non-Targeting Control_76609	Non-Targeting Control	878
SLC45A1_37313	SLC45A1	171
FAN1_31202	FAN1	39
ALOX12_664	ALOX12	501
HTR1A_9016	HTR1A	80
FBXO17_57453	FBXO17	232
DPY19L3_61926	DPY19L3	131
EMC4_38203	EMC4	421
C1orf54_49446	C1orf54	69
Non-Targeting Control_76797	Non-Targeting Control	532
POPDC2_47342	POPDC2	147
CUZD1_37282	CUZD1	38
RBBP6_15895	RBBP6	31
OAS3_12966	OAS3	40
CLCF1_33065	CLCF1	27
Non-Targeting Control_76882	Non-Targeting Control	258
FAM180B_72138	FAM180B	80
SPRYD7_45288	SPRYD7	246
SAGE1_42584	SAGE1	154
B9D1_35522	B9D1	28
HIST2H4B_73580	HIST2H4B	173
SUCLG1_23026	SUCLG1	77
KLRC4-KLRK1_76086	KLRC4-KLRK1	145
MFAP3_11404	MFAP3	286
LOC100505841_75850	LOC100505841	143
Non-Targeting Control_76590	Non-Targeting Control	844
Non-Targeting Control_76563	Non-Targeting Control	652
MAF1_53175	MAF1	158
MON1B_31093	MON1B	80
GLI4_7231	GLI4	176
SLC5A12_63298	SLC5A12	338
IRAK1BP1_60301	IRAK1BP1	165
KIF5C_10171	KIF5C	175
SLC45A2_37975	SLC45A2	123
FAM92B_68854	FAM92B	100
TRIP4_24491	TRIP4	59
SYT9_61176	SYT9	32
Non-Targeting Control_77340	Non-Targeting Control	486
ACMSD_59758	ACMSD	188
RTN4RL2_70022	RTN4RL2	232
C9orf85_60572	C9orf85	430
C1orf194_59268	C1orf194	68
LCE1B_70060	LCE1B	178
HOXB5_8694	HOXB5	101
NWD1_67870	NWD1	123
MAGEA6_11020	MAGEA6	128
ZKSCAN7_43658	ZKSCAN7	203
SH3RF1_46071	SH3RF1	59
ABLIM3_31117	ABLIM3	310
SLC9C2_67911	SLC9C2	53
MOB2_51623	MOB2	38
CNOT11_42686	CNOT11	115
KCNMB4_36089	KCNMB4	133
C19orf81_69455	C19orf81	259
HTR3C_64172	HTR3C	119
DNASE1L3_4911	DNASE1L3	71
LAMB4_30860	LAMB4	95
INAFM1_66661	INAFM1	120
NXF2B_74642	NXF2B	257
PSMD9_15268	PSMD9	444
CARD8_31166	CARD8	51
ALG1L_64762	ALG1L	141
NAAA_35724	NAAA	27
CCDC69_34590	CCDC69	149
SIAH2_17341	SIAH2	60
OR3A1_13087	OR3A1	76
WSB1_34598	WSB1	14
NUDT15_42146	NUDT15	303
CCDC42_61675	CCDC42	139
SP140_30638	SP140	150
ACSL4_6049	ACSL4	383
Non-Targeting Control_77238	Non-Targeting Control	576
ADCK3_44812	ADCK3	78
STARD6_61761	STARD6	111
Non-Targeting Control_77430	Non-Targeting Control	495
DCAF6_43503	DCAF6	157
GPATCH4_40817	GPATCH4	325
SMIM5_73741	SMIM5	165
GRIA3_7715	GRIA3	140
BEST4_67063	BEST4	87
C1orf226_72275	C1orf226	146
LRRC14B_71342	LRRC14B	250
SPRN_73470	SPRN	351
Non-Targeting Control_76655	Non-Targeting Control	643
FUK_64503	FUK	82
FHAD1_57285	FHAD1	52
GPR55_24411	GPR55	112
HDHD1_21438	HDHD1	228
OR2B6_34761	OR2B6	80
WWTR1_34136	WWTR1	84
KRT35_10404	KRT35	383
LSMEM2_60043	LSMEM2	91
PTPRZ1_15527	PTPRZ1	98
CCL25_17038	CCL25	138
GREM2_47687	GREM2	204
CNOT2_12709	CNOT2	35
SMC1A_21471	SMC1A	78
BPIFA1_38404	BPIFA1	66
PI16_65813	PI16	90
REG1B_15990	REG1B	179
OTUD1_65590	OTUD1	191
GPC4_6210	GPC4	332
KRTAP5-6_72837	KRTAP5-6	62
COL24A1_66639	COL24A1	42
SMYD3_47953	SMYD3	147
USP17L11_75589	USP17L11	259
Non-Targeting Control_77017	Non-Targeting Control	275
OXT_13167	OXT	274
NCCRP1_69436	NCCRP1	34
DNAJB6_26832	DNAJB6	444
UHRF1BP1_40902	UHRF1BP1	78
Non-Targeting Control_76496	Non-Targeting Control	883
ZNF280B_61053	ZNF280B	96
EPHB6_5686	EPHB6	218
FAM175A_52988	FAM175A	213
Non-Targeting Control_77083	Non-Targeting Control	595
SMPDL3A_29566	SMPDL3A	102
TAB1_28129	TAB1	93
MGMT_11455	MGMT	239
PGLYRP3_57167	PGLYRP3	170
CHFR_43222	CHFR	51
CMTR2_43360	CMTR2	214
PIAS3_27968	PIAS3	252
EPM2A_21118	EPM2A	63
CXorf21_50975	CXorf21	79
ELAVL3_5496	ELAVL3	110
LYRM5_61315	LYRM5	56
NPVF_47400	NPVF	89
OR2F1_34755	OR2F1	289
TMEM200C_73998	TMEM200C	194
CLDN11_13137	CLDN11	426
Non-Targeting Control_76855	Non-Targeting Control	293
TMCC1_31489	TMCC1	83
SLC25A12_22414	SLC25A12	294
NREP_24460	NREP	303
FYTTD1_53212	FYTTD1	245
PAQR9_69644	PAQR9	92
AGR3_62993	AGR3	167
ZNF740_67316	ZNF740	354
FAM199X_60682	FAM199X	96
LCA5_63972	LCA5	90
TTC23L_62818	TTC23L	65
DAPL1_56145	DAPL1	251
GHRHR_7124	GHRHR	24
FAM25A_73753	FAM25A	349
MND1_52790	MND1	52
TSPAN32_26925	TSPAN32	126
DNAH17_22499	DNAH17	58
PTP4A1_20933	PTP4A1	66
TCEAL4_50361	TCEAL4	316
IRG1_75060	IRG1	169
DEFB127_61023	DEFB127	265
PRKDC_14870	PRKDC	64
ZNF43_20576	ZNF43	83
OR8S1_69338	OR8S1	35
PCDHGB5_43894	PCDHGB5	89
PHOX2A_1161	PHOX2A	141
SEMA4F_28314	SEMA4F	174
SYT1_18581	SYT1	159
GSTM2_7894	GSTM2	93
ZNF334_43118	ZNF334	161
MAPK14_4002	MAPK14	162
BLK_1740	BLK	154
A4GALT_39717	A4GALT	102
Non-Targeting Control_76670	Non-Targeting Control	885
RABEPK_27495	RABEPK	50
Non-Targeting Control_76865	Non-Targeting Control	352
ADRBK2_440	ADRBK2	64
ZNF37A_20557	ZNF37A	198
LYG2_66494	LYG2	103
MNDA_11660	MNDA	413
ATP2A1_1365	ATP2A1	78
TMEM182_59880	TMEM182	99
SPINK14_72721	SPINK14	253
CRIPT_24777	CRIPT	61
Non-Targeting Control_76593	Non-Targeting Control	594
DUS3L_44620	DUS3L	58
GJC1_26843	GJC1	21
Non-Targeting Control_77242	Non-Targeting Control	361
TRIML1_69066	TRIML1	110
PPP1R13B_32602	PPP1R13B	50
EPSTI1_56746	EPSTI1	74
GAL3ST4_49639	GAL3ST4	183
AGT_516	AGT	190
ADIPOQ_24629	ADIPOQ	81
HIST3H2A_56361	HIST3H2A	168
SLAMF1_17421	SLAMF1	47
BLOC1S3_71064	BLOC1S3	78
TRAF2_19560	TRAF2	23
Non-Targeting Control_76687	Non-Targeting Control	396
SMIM15_73746	SMIM15	149
KRT5_10321	KRT5	117
CLN8_5702	CLN8	72
PRCC_14717	PRCC	64
DPT_5001	DPT	110
PRR29_56211	PRR29	138
ADGRG6_45283	ADGRG6	58
Non-Targeting Control_76792	Non-Targeting Control	331
CCDC14_48003	CCDC14	62
SGK3_33466	SGK3	268
Non-Targeting Control_76486	Non-Targeting Control	420
Non-Targeting Control_76507	Non-Targeting Control	540
CYP2D6_4381	CYP2D6	108
PPP2R5E_14659	PPP2R5E	125
TP53I13_55388	TP53I13	119
IL22RA2_57741	IL22RA2	225
NXF3_43837	NXF3	114
SYDE2_52994	SYDE2	201
JAM3_52395	JAM3	133
TCF25_31356	TCF25	62
ZFP42_60075	ZFP42	296
LRP11_54476	LRP11	209
RAET1L_62859	RAET1L	120
PLCH2_25492	PLCH2	67
C1orf189_71168	C1orf189	144
RGN_23873	RGN	269
TAS2R4_37368	TAS2R4	207
SLC35G6_73815	SLC35G6	71
Non-Targeting Control_77187	Non-Targeting Control	990
FAM96A_53094	FAM96A	191
TMEM54_57011	TMEM54	48
GIP_7135	GIP	139
COX8C_69358	COX8C	409
PPP1R27_57815	PPP1R27	93
ZNF625_55543	ZNF625	176
RAB40A_61107	RAB40A	165
LAYN_61248	LAYN	193
TCTN2_50195	TCTN2	160
LOC283710_67474	LOC283710	79
ZNF302_43687	ZNF302	158
CTSB_4240	CTSB	38
ZNF107_38733	ZNF107	71
Non-Targeting Control_76562	Non-Targeting Control	657
SOX15_18001	SOX15	159
PAGE2_65127	PAGE2	289
Non-Targeting Control_76449	Non-Targeting Control	693
PHOX2B_23432	PHOX2B	317
HMGCLL1_40117	HMGCLL1	59
RCN2_15954	RCN2	193
Non-Targeting Control_77090	Non-Targeting Control	535
ZSWIM7_58917	ZSWIM7	144
OR10X1_59522	OR10X1	39
CDX1_2984	CDX1	51
FZD5_21006	FZD5	230
EXOC3L2_55413	EXOC3L2	85
C12orf75_70883	C12orf75	80
UBB_19815	UBB	209
PKNOX2_47061	PKNOX2	107
SAA4_16781	SAA4	174
POLR3G_28701	POLR3G	141
DNAJC30_53319	DNAJC30	160
PSMF1_24995	PSMF1	42
DEFB4B_75716	DEFB4B	80
Non-Targeting Control_77003	Non-Targeting Control	346
PDE7B_35603	PDE7B	137
TIAM1_19195	TIAM1	86
SNX3_22793	SNX3	241
SERPINB3_16856	SERPINB3	255
S100B_16765	S100B	81
HSPB1_8960	HSPB1	84
CASKIN1_45724	CASKIN1	203
ZNF395_43677	ZNF395	36
CREB3L2_47989	CREB3L2	189
KIAA2026_63153	KIAA2026	88
METTL2A_68864	METTL2A	553
MZT2A_74409	MZT2A	112
NIT1_12624	NIT1	111
Non-Targeting Control_76994	Non-Targeting Control	588
Non-Targeting Control_76681	Non-Targeting Control	451
LRRC38_59219	LRRC38	79
ANXA7_848	ANXA7	117
RCAN1_5084	RCAN1	132
GNPDA2_60096	GNPDA2	226
KCNF1_10011	KCNF1	83
Non-Targeting Control_76867	Non-Targeting Control	789
NDST1_9000	NDST1	174
ANKDD1B_74785	ANKDD1B	151
PDSS1_33251	PDSS1	63
ROCK1_16237	ROCK1	196
ASB9_60813	ASB9	91
WFDC8_55343	WFDC8	175
Non-Targeting Control_76875	Non-Targeting Control	466
GJB3_7170	GJB3	46
PTH2_56921	PTH2	79
FAF2_32046	FAF2	88
TP53I13_55387	TP53I13	108
TFEC_30856	TFEC	48
EIF5A2_44314	EIF5A2	59
ASNSD1_40151	ASNSD1	284
NFATC3_12502	NFATC3	191
KRTAP10-11_70676	KRTAP10-11	198
SF3B6_39196	SF3B6	372
GOLGA5_26542	GOLGA5	162
LYNX1_48600	LYNX1	444
SOX30_29995	SOX30	100
SPRY3_27524	SPRY3	183
CDKN2AIPNL_55811	CDKN2AIPNL	195
RASL10B_55905	RASL10B	56
Non-Targeting Control_76817	Non-Targeting Control	425
SLC39A6_33746	SLC39A6	164
NBEA_35335	NBEA	292
DEFB106B_73491	DEFB106B	351
EIF4E3_68509	EIF4E3	120
RAB5A_15662	RAB5A	59
ARTN_23692	ARTN	57
RGN_23874	RGN	142
MYO5A_12107	MYO5A	73
OPRM1_13068	OPRM1	29
ZNF468_55417	ZNF468	73
HIST1H4A_21736	HIST1H4A	158
Non-Targeting Control_77137	Non-Targeting Control	534
MAP3K10_11534	MAP3K10	102
CIC_31889	CIC	53
PGLYRP4_45021	PGLYRP4	168
MRGPRX3_57934	MRGPRX3	130
RETNLB_53976	RETNLB	85
DRC7_53164	DRC7	159
OR11H12_72894	OR11H12	120
CALY_37292	CALY	255
SP110_9187	SP110	253
NAP1L1_12191	NAP1L1	182
OR13C3_60621	OR13C3	90
PHRF1_46151	PHRF1	117
BRD9_48530	BRD9	101
TUBA4A_19717	TUBA4A	153
CHP2_47159	CHP2	81
ATF5_30891	ATF5	76
TRIM39-RPP21_65011	TRIM39-RPP21	86
MYPOP_68919	MYPOP	51
TMEM30B_63416	TMEM30B	78
PPP6C_14691	PPP6C	13
OR5M10_71668	OR5M10	197
CXCL6_17041	CXCL6	428
GGT7_7100	GGT7	291
LRRFIP2_24188	LRRFIP2	134
SYCP2L_65871	SYCP2L	160
SLC17A4_26836	SLC17A4	77
ZNF146_20712	ZNF146	306
Non-Targeting Control_77326	Non-Targeting Control	269
TBC1D22B_42874	TBC1D22B	62
B2M_1551	B2M	222
APOC4_979	APOC4	59
RNF215_64691	RNF215	168
ANKRD54_59671	ANKRD54	201
Non-Targeting Control_76550	Non-Targeting Control	621
COG6_45685	COG6	256
CAPN3_2296	CAPN3	186
CIB4_59773	CIB4	102
FAM20C_44746	FAM20C	251
NLGN3_39888	NLGN3	180
PDE3B_13509	PDE3B	91
SNTB1_17914	SNTB1	231
PRPS2_15015	PRPS2	108
NDUFA10_12306	NDUFA10	11
MAGED2_29537	MAGED2	200
PTPRH_15490	PTPRH	85
MS4A13_73466	MS4A13	294
1-Mar_47964	1-Mar	405
PDE9A_13558	PDE9A	35
PGM2L1_67254	PGM2L1	112
LRBA_2786	LRBA	170
Non-Targeting Control_76824	Non-Targeting Control	470
TIRAP_57144	TIRAP	177
ZXDB_63203	ZXDB	329
DYNC2H1_49543	DYNC2H1	73
4-Sep_14321	4-Sep	197
FARS2_28859	FARS2	45
Non-Targeting Control_76871	Non-Targeting Control	711
8-Sep_31973	8-Sep	155
EPHA5_5660	EPHA5	75
GATA3_6916	GATA3	223
DCHS2_40591	DCHS2	75
FBXO16_63021	FBXO16	81
DGKB_4496	DGKB	98
FAXC_53799	FAXC	77
PTPN4_15426	PTPN4	139
PMEPA1_44637	PMEPA1	84
KIF1C_29063	KIF1C	31
KRT37_22687	KRT37	120
MAPKAPK5_22294	MAPKAPK5	153
NXN_47666	NXN	46
INSR_9664	INSR	228
MBTD1_40595	MBTD1	119
Non-Targeting Control_77317	Non-Targeting Control	486
DUSP12_30643	DUSP12	48
KLHL28_40643	KLHL28	101
C10orf91_64148	C10orf91	207
DAPL1_56148	DAPL1	419
PLSCR5_71312	PLSCR5	20
HELZ2_54928	HELZ2	68
RSPO3_54319	RSPO3	224
FLYWCH1_53239	FLYWCH1	49
ITGA6_9686	ITGA6	52
Non-Targeting Control_76800	Non-Targeting Control	685
UCHL1_19901	UCHL1	93
DEPDC7_55914	DEPDC7	164
ANKRD52_67330	ANKRD52	120
Non-Targeting Control_77039	Non-Targeting Control	436
PLEKHG4_34008	PLEKHG4	116
CXCL5_17052	CXCL5	211
B3GNTL1_61634	B3GNTL1	68
DCX_4596	DCX	282
BEND2_60658	BEND2	222
NFE2_12509	NFE2	53
MOB4_33886	MOB4	82
MAGEB5_69850	MAGEB5	130
SLC17A1_17656	SLC17A1	79
CACNG7_46749	CACNG7	64
DCDC2C_74736	DCDC2C	254
CCDC179_75816	CCDC179	98
LMOD3_44118	LMOD3	77
ZNF736_74806	ZNF736	156
MSI1_11770	MSI1	93
LRWD1_65972	LRWD1	376
KIF24_69789	KIF24	133
EIF1AY_23817	EIF1AY	179
MAZ_11171	MAZ	160
FAM183A_72974	FAM183A	216
Non-Targeting Control_76704	Non-Targeting Control	362
DHRS2_27335	DHRS2	245
IL17F_56843	IL17F	59
COL14A1_19990	COL14A1	167
OR2K2_34831	OR2K2	70
GKAP1_51112	GKAP1	129
Non-Targeting Control_76997	Non-Targeting Control	381
SLC25A40_43814	SLC25A40	167
RGAG4_69187	RGAG4	124
AKAP9_27143	AKAP9	207
ASB5_60800	ASB5	155
NOV_12744	NOV	71
MICU1_27862	MICU1	126
NMNAT3_70014	NMNAT3	194
GFY_75929	GFY	303
TRIM38_28212	TRIM38	128
ZIC3_20450	ZIC3	242
PTCHD3_70249	PTCHD3	150
ADAMTS8_30101	ADAMTS8	187
Non-Targeting Control_76462	Non-Targeting Control	562
CFAP47_68464	CFAP47	164
CRTC3_48053	CRTC3	55
EML6_72313	EML6	73
VPS35_43195	VPS35	94
CARD8_31163	CARD8	91
SH3BP5_24922	SH3BP5	129
DENND6B_72789	DENND6B	110
OR2C1_13083	OR2C1	161
Non-Targeting Control_77207	Non-Targeting Control	189
Non-Targeting Control_76807	Non-Targeting Control	308
Non-Targeting Control_76635	Non-Targeting Control	442
LONRF2_63804	LONRF2	232
GRXCR2_73755	GRXCR2	165
DSG2_5089	DSG2	122
MIR1-1HG_59613	MIR1-1HG	196
NEFM_12428	NEFM	148
CEP131_31406	CEP131	184
CLDN4_3789	CLDN4	341
PPM1B_14551	PPM1B	132
SPR_18096	SPR	149
ZNF569_62000	ZNF569	110
Non-Targeting Control_76697	Non-Targeting Control	780
ITPKC_51037	ITPKC	198
RBBP8NL_61069	RBBP8NL	35
CLK3_3397	CLK3	134
S100A7L2_74056	S100A7L2	137
MRLN_75931	MRLN	245
COPS7A_37358	COPS7A	76
Non-Targeting Control_76688	Non-Targeting Control	543
C11orf85_67210	C11orf85	54
Non-Targeting Control_77422	Non-Targeting Control	611
TCERG1L_66784	TCERG1L	54
TAAR6_68564	TAAR6	100
GRIA1_7705	GRIA1	145
RAB39B_57754	RAB39B	66
RAP1GDS1_15813	RAP1GDS1	148
CHMP5_38908	CHMP5	38
CEP68_31978	CEP68	287
PITPNA_14022	PITPNA	140
CXorf65_63233	CXorf65	199
FAM193A_22409	FAM193A	281
LCE3E_70102	LCE3E	101
ERO1L_37030	ERO1L	80
VILL_37418	VILL	168
GNG10_7374	GNG10	115
GANC_6867	GANC	64
CRK_3906	CRK	26
R3HDM1_33026	R3HDM1	142
SLK_25840	SLK	53
C4orf19_42204	C4orf19	431
RAB1B_52014	RAB1B	254
THRAP3_26590	THRAP3	115
IRX5_27561	IRX5	91
ARMCX5_48204	ARMCX5	148
ATP5G2_1435	ATP5G2	36
CDK5R2_23472	CDK5R2	181
JUND_9924	JUND	228
SNX20_58745	SNX20	313
TAS2R4_37367	TAS2R4	331
APOO_48973	APOO	142
SPRED3_72082	SPRED3	270
GLS_7254	GLS	175
PRAMEF17_71911	PRAMEF17	88
ORC2_13100	ORC2	305
PSG5_15117	PSG5	323
HIC1_8335	HIC1	91
SALL3_35728	SALL3	68
FAM153A_68211	FAM153A	35
MIER1_46293	MIER1	203
Non-Targeting Control_76796	Non-Targeting Control	205
CIAPIN1_44855	CIAPIN1	113
Non-Targeting Control_76706	Non-Targeting Control	444
ARHGAP36_63213	ARHGAP36	204
Non-Targeting Control_76890	Non-Targeting Control	299
MARK4_46386	MARK4	171
AGFG2_8835	AGFG2	285
ITSN1_17281	ITSN1	67
FAM81B_62813	FAM81B	33
SSPO_31867	SSPO	178
ESCO1_57230	ESCO1	195
OMP_13036	OMP	95
GCH1_6977	GCH1	159
RAB33A_24608	RAB33A	299
PHF3_32887	PHF3	77
CBFB_2418	CBFB	82
CCL3L3_72742	CCL3L3	135
FCGR1A_6146	FCGR1A	248
CELA3A_27123	CELA3A	207
MAPK1_14882	MAPK1	74
MAGEA11_11034	MAGEA11	80
SETMAR_17167	SETMAR	293
ZCCHC10_40662	ZCCHC10	429
SLC24A5_67455	SLC24A5	188
TANGO2_59654	TANGO2	127
SMIM2_48742	SMIM2	81
ASNSD1_40153	ASNSD1	202
ACOX2_21554	ACOX2	165
CAMK2G_2265	CAMK2G	53
RGS7_16106	RGS7	333
KDF1_59212	KDF1	56
EHD3_37136	EHD3	175
WDFY4_46280	WDFY4	121
C2CD4A_61463	C2CD4A	74
SIAE_39894	SIAE	85
DTX2_57074	DTX2	377
TMEM176A_42470	TMEM176A	119
TBC1D32_65755	TBC1D32	147
EAF1_54878	EAF1	23
CCRL2_23649	CCRL2	202
THBD_19140	THBD	49
MORN5_66534	MORN5	36
NUDT4_30329	NUDT4	35
SPATA25_59562	SPATA25	120
MAGEB17_74050	MAGEB17	199
PRKAR2B_14816	PRKAR2B	135
CATSPERG_46456	CATSPERG	73
TAS2R5_39897	TAS2R5	156
THUMPD1_42833	THUMPD1	49
PPME1_38701	PPME1	59
DDIT4_40192	DDIT4	160
RAP1GDS1_15816	RAP1GDS1	222
ATP5L_28739	ATP5L	13
SYNPO_30842	SYNPO	72
CP_3759	CP	453
SLCO1B7_68824	SLCO1B7	66
UBA6_42032	UBA6	21
LMNB1_10709	LMNB1	46
STK17A_24348	STK17A	36
ZNF593_37611	ZNF593	641
TOX_25881	TOX	172
SMARCD3_17776	SMARCD3	75
ESAM_55681	ESAM	249
CD14_2603	CD14	79
TRIM39_44340	TRIM39	53
ARSH_69848	ARSH	524
PADI4_33203	PADI4	202
MEGF11_53672	MEGF11	76
CCDC126_55601	CCDC126	182
TET1_51093	TET1	90
SGSM1_59664	SGSM1	239
PRAF2_30536	PRAF2	389
MC5R_11211	MC5R	411
CHST13_63872	CHST13	220
CABLES2_52046	CABLES2	136
USP14_23856	USP14	138
CACNA2D1_2172	CACNA2D1	149
TSACC_59478	TSACC	177
SEC14L1_17105	SEC14L1	182
AKR1B10_44845	AKR1B10	115
SIGLEC12_55175	SIGLEC12	142
ROBO3_47552	ROBO3	50
NDUFS1_12364	NDUFS1	28
TWIST1_19759	TWIST1	125
KLHL30_70588	KLHL30	48
PTPRD_15471	PTPRD	45
DDHD2_32260	DDHD2	196
IFT80_45844	IFT80	94
TSPAN19_61336	TSPAN19	94
SLC38A6_61415	SLC38A6	49
NETO2_51929	NETO2	22
DYRK1A_5195	DYRK1A	183
ACOT11_34379	ACOT11	221
DCXR_38059	DCXR	414
UTP14A_29250	UTP14A	67
SAMD3_62862	SAMD3	167
DCAF8_37324	DCAF8	298
C22orf34_69957	C22orf34	32
EXOC3L1_67516	EXOC3L1	81
TBX1_18725	TBX1	102
ATP6V1G3_59308	ATP6V1G3	172
C11orf95_48586	C11orf95	65
SETD3_53098	SETD3	175
KCTD4_70647	KCTD4	192
NPBWR1_7515	NPBWR1	70
TEX38_70409	TEX38	151
IL12A_9495	IL12A	256
SLC24A4_58580	SLC24A4	158
KATNAL2_52155	KATNAL2	58
C16orf89_61616	C16orf89	30
TGFB3_19091	TGFB3	29
MCTS1_36300	MCTS1	353
IL32_24261	IL32	292
PRPF18_22317	PRPF18	91
DCDC2_38832	DCDC2	207
FUNDC1_60697	FUNDC1	135
VIP_20161	VIP	194
C16orf72_36351	C16orf72	80
IGSF8_56469	IGSF8	124
DCD_57915	DCD	163
Non-Targeting Control_76689	Non-Targeting Control	566
ERG_5777	ERG	90
KHDRBS2_65006	KHDRBS2	76
LMOD1_33752	LMOD1	54
TFAP2D_52452	TFAP2D	91
POT1_34068	POT1	29
XKR3_62272	XKR3	86
SEC61A2_41815	SEC61A2	142
XRCC6BP1_55840	XRCC6BP1	272
HLA-DRB5_8442	HLA-DRB5	181
CPB2_3780	CPB2	168
SLC22A3_17703	SLC22A3	118
RPS6KA3_16523	RPS6KA3	204
CCDC88C_72901	CCDC88C	48
ACSL4_6051	ACSL4	180
TMEM183A_56319	TMEM183A	192
HECTD4_67372	HECTD4	140
TAS2R3_37366	TAS2R3	186
IDO1_9587	IDO1	224
NAB2_12166	NAB2	147
KIAA1191_45212	KIAA1191	66
PROKR1_29436	PROKR1	81
Non-Targeting Control_77100	Non-Targeting Control	430
KIAA1109_53019	KIAA1109	219
CRELD1_48624	CRELD1	56
MAP3K7_18681	MAP3K7	123
BTN3A3_27908	BTN3A3	230
OR13A1_49144	OR13A1	402
Non-Targeting Control_76567	Non-Targeting Control	442
WFDC10B_67118	WFDC10B	135
MAGEB10_60709	MAGEB10	183
AP4E1_32796	AP4E1	95
FEM1A_42607	FEM1A	60
IMPACT_42463	IMPACT	107
F11_5979	F11	113
EN2_5578	EN2	108
C9orf92_75206	C9orf92	135
SPPL3_58432	SPPL3	74
ATP6V1G2_1479	ATP6V1G2	117
ZNF711_20464	ZNF711	117
SUPT20HL2_64113	SUPT20HL2	214
GPR39_7619	GPR39	52
GPR139_58714	GPR139	197
CYS1_64339	CYS1	250
ACP1_158	ACP1	194
SAMD10_60913	SAMD10	89
ZNF420_61900	ZNF420	218
GNA13_28881	GNA13	218
Non-Targeting Control_76497	Non-Targeting Control	755
RINL_59162	RINL	289
SCP2D1_61027	SCP2D1	43
TMX2_37709	TMX2	97
DUSP15_59620	DUSP15	48
